TYPE,IDENTIFIER,GRAMMAR_PATTERN,POSITION,NORMALIZED_POSITION,CONTEXT,WORD,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
AltAndContextConfigEqualityComparator,Alt And Context Config Equality Comparator,N CJ NM NM NM N,1,1,2,And,CJ,{'antlr4.srcml.xml_identifiers'},272
bool,last Token Was Delete Or Default,NM N V N CJ N,4,1,3,Or,CJ,{'kdevelop.srcml.xml_identifiers'},654
int,compare Inverse And Forward Dynamics,V NM CJ NM NPL,2,1,4,And,CJ,{'irrlicht.srcml.xml_identifiers'},833
bool,Handle If,V CJ,1,2,4,If,CJ,{'jenkins.srcml.xml_identifiers'},921
boolean,skip Whitespace And Commas,V N CJ NPL,2,1,4,And,CJ,{'elasticsearch.srcml.xml_identifiers'},1024
void,throw Provision Exception If Errors Exist,V NM N CJ NPL V,3,1,4,If,CJ,{'opencv.srcml.xml_identifiers'},1038
BytesReference,uncompress If Needed,V CJ V,1,1,4,If,CJ,{'gimp.srcml.xml_identifiers'},1045
RunListener,wrap If Not Thread Safe,V CJ VM NM N,1,1,4,If,CJ,{'antlr4.srcml.xml_identifiers'},1064
boolean,next Integer If Not EOF,DT NM CJ DT N,2,1,4,If,CJ,drill.git/exec/java-exec/src/main/java/org/apache/drill/exec/store/parquet/columnreaders/VarLenColumnBulkInput.java,1533
WhichMemory,data or diff,N CJ N,1,1,5,or,CJ,cloned_repositories/caffe.git/matlab/+caffe/private/caffe_.cpp,1544
bool*,is a ge zero and a lt b,V N NM D CJ N NM N,4,1,4,and,CJ,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,1547
ccv_nnc_tensor_symbol_t,ccv nnc tensor symbol for backward,PRE PRE NM N CJ N,4,1,4,for,CJ,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,1550
bool,if Unique,CJ NM,0,0,5,if,CJ,cloned_repositories/cling.git/lib/Interpreter/Interpreter.cpp,1556
PushTransactionRAII,T for Deser,N CJ N,1,1,3,for,CJ,cloned_repositories/cling.git/lib/Interpreter/LookupHelper.cpp,1557
