WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
ABC,NM,N,N,0,2,0,1,NM
Opt,N,V,N,1,2,2,1,N
Abstract,NM,NM,NM,0,3,0,1,NM
Build,NM,N,NM,1,3,1,1,NM
Execution,N,N,N,2,3,2,1,N
Accessor,NM,N,N,0,3,0,1,NM
Conformance,NM,N,N,1,3,1,1,NM
Info,N,N,N,2,3,2,1,N
Action,NM,N,N,0,2,0,1,NM
Translator,N,N,N,1,2,2,1,N
Address,NM,N,N,0,2,0,1,N
Lowering,N,N,N,1,2,2,1,V
Alt,NM,N,N,0,6,0,1,N
And,NM,N,CJ,1,6,1,1,CJ
Context,NM,N,N,2,6,1,1,NM
Config,NM,N,N,3,6,1,1,NM
Equality,NM,N,N,4,6,1,1,NM
Comparator,N,N,N,5,6,2,1,N
Android,NM,N,N,0,5,0,1,NM
Byte,NM,N,N,1,5,1,1,NM
Buddy,NM,N,N,2,5,1,1,NM
Mock,NM,NM,N,3,5,1,1,NM
Maker,N,N,N,4,5,2,1,N
Apply,NM,N,N,0,2,0,1,NM
Rewriter,N,N,N,1,2,2,1,N
Arabic,NM,NM,NM,0,2,0,1,NM
Segmenter,N,N,N,1,2,2,1,N
Area,NM,N,N,0,4,0,1,NM
Info,NM,N,N,1,4,1,1,NM
Dialog,NM,N,N,2,4,1,1,NM
t,N,N,N,3,4,2,1,N
Ares,NM,N,N,0,3,0,1,NM
Dns,NM,N,N,1,3,1,1,NM
Resolver,N,N,N,2,3,2,1,N
Array,NM,N,N,0,3,0,1,NM
Count,NM,N,N,1,3,1,1,NM
Propagation,N,N,N,2,3,2,1,N
Attribute,N,N,N,0,1,0,1,N
Background,NM,N,N,0,3,0,1,NM
Parser,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Base,NM,NM,N,0,3,0,1,NM
Loader,NM,N,N,1,3,1,1,NM
Callback,N,N,N,2,3,2,1,N
Basic,NM,NM,NM,0,3,0,1,NM
Replication,NM,N,N,1,3,1,1,NM
Request,N,N,N,2,3,2,1,N
Basket,NM,N,N,0,2,0,1,NM
Payoff,N,N,N,1,2,2,1,N
Binary,NM,NM,NM,0,2,0,1,NM
Rule,N,N,N,1,2,2,1,N
bt,NM,N,P,0,3,0,1,PRE
Collision,NM,N,N,1,3,1,1,NM
Shape,N,N,NM,2,3,2,1,N
bt,NM,N,P,0,4,0,1,PRE
Deformable,NM,NM,NM,1,4,1,1,NM
Contact,NM,N,N,2,4,1,1,NM
Constraint,N,N,N,3,4,2,1,N
bt,NM,N,P,0,2,0,1,PRE
Material,N,N,N,1,2,2,1,N
Bucket,NM,N,N,0,2,0,1,NM
Collector,N,N,N,1,2,2,1,N
Build,NM,N,V,0,2,0,1,NM
Wrapper,N,N,N,1,2,2,1,N
C,NM,NM,N,0,5,0,1,PRE
Animated,NM,NM,N,1,5,1,1,NM
Mesh,NM,N,N,2,5,1,1,NM
Scene,NM,N,N,3,5,1,1,NM
Node,N,N,N,4,5,2,1,N
C,NM,NM,N,0,4,0,1,PRE
Archive,NM,N,N,1,4,1,1,NM
Loader,NM,N,N,2,4,1,1,N
TAR,N,N,N,3,4,2,1,NM
C,NM,FAILURE,N,0,4,0,1,PRE
At,NM,FAILURE,P,1,4,1,1,NM
Background,NM,FAILURE,N,2,4,1,1,NM
Color,N,FAILURE,N,3,4,2,1,N
C,NM,FAILURE,N,0,3,0,1,PRE
At,NM,FAILURE,P,1,3,1,1,NM
Font,N,FAILURE,N,2,3,2,1,N
C,NM,FAILURE,N,0,3,0,1,PRE
At,NM,FAILURE,P,1,3,1,1,NM
Grayscale,N,FAILURE,N,2,3,2,1,N
C,NM,NM,N,0,5,0,1,PRE
Burning,NM,NM,N,1,5,1,1,NM
Shader,NM,N,N,2,5,1,1,NM
Raster,NM,N,N,3,5,1,1,NM
Reference,N,N,N,4,5,2,1,N
C,NM,NM,N,0,4,0,1,PRE
D3D9,NM,N,N,1,4,1,1,NM
Render,NM,N,N,2,4,1,1,NM
Target,NM,N,N,3,4,2,1,N
C,NM,NM,N,0,4,0,1,PRE
File,NM,N,N,1,4,1,1,NM
Read,NM,N,N,2,4,1,1,NM
Callback,N,N,N,3,4,2,1,N
C,NM,NM,N,0,3,0,1,PRE
http2,NM,N,N,1,3,1,1,NM
Connector,NM,N,N,2,3,2,1,N
C,NM,NM,N,0,2,0,1,PRE
Image,N,N,N,1,2,2,1,N
C,NM,NM,N,0,4,0,1,PRE
Image,NM,N,N,1,4,1,1,NM
Writer,NM,N,N,2,4,1,1,N
JPG,N,N,N,3,4,2,1,NM
C,NM,NM,N,0,3,0,1,PRE
Skinned,NM,NM,N,1,3,1,1,NM
Mesh,N,N,N,2,3,2,1,N
Cache,NM,N,N,0,2,0,1,NM
Strategy,N,N,N,1,2,2,1,N
Cached,NM,N,N,0,3,0,1,NM
Region,NM,N,N,1,3,1,1,NM
Tracker,N,N,N,2,3,2,1,N
Call,NM,N,V,0,3,0,1,NM
Error,NM,N,N,1,3,1,1,NM
Extensions,N,N,NPL,2,3,2,1,NPL
Camera,NM,N,N,0,2,0,1,NM
Data,N,N,N,1,2,2,1,N
Caplet,NM,N,N,0,3,0,1,NM
Variance,NM,N,N,1,3,1,1,NM
Curve,N,N,N,2,3,2,1,N
Category,NM,N,N,0,3,0,1,NM
Filter,NM,N,N,1,3,1,1,NM
Factory,N,N,N,2,3,2,1,N
Cbor,NM,N,N,0,3,0,1,NM
X,NM,NM,N,1,3,1,1,NM
Content,N,N,N,2,3,2,1,N
Change,NM,N,N,0,2,0,1,V
Scroll,N,N,N,1,2,2,1,N
Chapter,NM,N,N,0,3,0,1,NM
Toc,NM,N,N,1,3,1,1,NM
Frame,N,N,N,2,3,2,1,N
Child,NM,N,N,0,2,0,1,NM
Location,N,N,N,1,2,2,1,N
Chinese,NM,NM,N,0,4,0,1,NM
Treebank,NM,N,N,1,4,1,1,NM
Parser,NM,N,N,2,4,1,1,NM
Params,N,N,N,3,4,2,1,NPL
Cipher,NM,N,N,0,2,0,1,NM
Suite,N,N,N,1,2,2,1,N
Class,NM,N,N,0,2,0,1,NM
Loaders,N,N,N,1,2,2,1,NPL
Clause,NM,N,N,0,2,0,1,NM
Matrix,N,N,N,1,2,2,1,N
Clock,N,N,N,0,1,0,1,N
Cluster,NM,N,N,0,4,0,1,NM
Update,NM,N,N,1,4,1,1,NM
Settings,NM,N,N,2,4,1,1,NM
Response,N,N,N,3,4,2,1,N
Cmd,NM,N,N,0,4,0,1,NM
Output,NM,N,N,1,4,1,1,NM
Operation,NM,N,N,2,4,1,1,NM
Type,N,N,N,3,4,2,1,N
Code,NM,N,N,0,3,0,1,NM
Generator,NM,N,N,1,3,1,1,N
Private,N,N,N,2,3,2,1,NM
Color,NM,NM,N,0,2,0,1,NM
Map,N,N,N,1,2,2,1,N
Combine,NM,FAILURE,V,0,10,0,1,NM
Paint,NM,FAILURE,N,1,10,1,1,NM
Mask,NM,FAILURE,N,2,10,1,1,N
To,NM,FAILURE,P,3,10,1,1,P
Canvas,NM,FAILURE,N,4,10,1,1,NM
Buffer,NM,FAILURE,N,5,10,1,1,N
To,NM,FAILURE,P,6,10,1,1,P
Paint,NM,FAILURE,V,7,10,1,1,NM
Buf,NM,FAILURE,N,8,10,1,1,NM
Alpha,N,FAILURE,N,9,10,2,1,N
Command,NM,N,N,0,2,0,1,NM
t,N,N,N,1,2,2,1,N
Comp,NM,N,N,0,2,0,1,NM
Mask,N,N,N,1,2,2,1,N
Compiler,NM,N,N,0,2,0,1,NM
Item,N,N,N,1,2,2,1,N
Configure,NM,N,N,0,2,0,1,NM
Timeouts,N,N,N,1,2,2,1,NPL
Const,NM,N,N,0,3,0,1,NM
Parameter,NM,N,N,1,3,1,1,NM
Float,N,N,N,2,3,2,1,N
Container,NM,N,N,0,3,0,1,NM
Tab,NM,N,N,1,3,1,1,NM
Bar,N,N,N,2,3,2,1,N
Content,NM,NM,N,0,2,0,1,NM
Path,N,N,N,1,2,2,1,N
Context,NM,N,N,0,6,0,1,NM
Token,NM,NM,NM,1,6,1,1,NM
List,NM,N,N,2,6,1,1,NM
Indexed,NM,N,NM,3,6,1,1,NM
Getter,NM,N,N,4,6,1,1,NM
Decl,N,N,N,5,6,2,1,N
Contextualize,NM,N,N,0,2,0,1,V
Closures,N,N,NPL,1,2,2,1,NPL
Controlled,NM,NM,NM,0,2,0,1,NM
Object,N,N,N,1,2,2,1,N
Controller,NM,N,N,0,2,0,1,NM
Value,N,N,N,1,2,2,1,N
Cpp,NM,N,N,0,3,0,1,NM
Generator,NM,N,N,1,3,1,1,NM
Services,N,N,NPL,2,3,2,1,NPL
Cq,NM,N,N,0,3,0,1,NM
Event,NM,N,N,1,3,1,1,NM
Queue,N,N,N,2,3,2,1,N
CRF,NM,FAILURE,N,0,7,0,1,NM
Non,NM,FAILURE,N,1,7,1,1,NM
Linear,NM,FAILURE,N,2,7,1,1,NM
Log,NM,FAILURE,N,3,7,1,1,NM
Conditional,NM,FAILURE,N,4,7,1,1,NM
Objective,NM,FAILURE,N,5,7,1,1,NM
Function,N,FAILURE,N,6,7,2,1,N
D,NM,NM,N,0,3,0,1,NM
Bus,NM,N,N,1,3,1,1,NM
Proxy,N,N,N,2,3,2,1,N
D,NM,NM,N,0,3,0,1,NM
obj,NM,N,N,1,3,1,1,NM
Points,N,N,NPL,2,3,2,1,NPL
D3D11,NM,N,N,0,4,0,1,NM
