WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
active,NM,NM,NM,0,3,0,3,NM
Tool,NM,N,N,1,3,1,3,NM
Id,N,N,N,2,3,2,3,N
actual,NM,NM,NM,0,2,0,3,NM
Suffix,N,N,N,1,2,2,3,N
adding,N,N,NM,0,1,0,3,V
aead,NM,N,N,0,3,0,3,NM
crypter,NM,N,N,1,3,1,3,NM
seal,N,N,N,2,3,2,3,N
all,DT,DT,DT,0,3,0,3,DT
action,NM,N,N,1,3,1,3,NM
Roots,N,N,NPL,2,3,2,3,NPL
all,DT,DT,DT,0,3,0,3,DT
Invocation,NM,N,N,1,3,1,3,NM
Matchers,N,N,NPL,2,3,2,3,NPL
all,DT,DT,DT,0,3,0,3,DT
Open,NM,NM,N,1,3,1,3,NM
Indices,N,N,NPL,2,3,2,3,NPL
always,NM,N,VM,0,2,0,3,VM
preview,N,N,N,1,2,2,3,V
anchor,NM,N,N,0,2,0,3,NM
Name,N,N,N,1,2,2,3,N
angle,NM,V,N,0,3,0,3,N
In,NM,P,P,1,3,1,3,P
Radian,N,N,N,2,3,2,3,N
animation,NM,N,N,0,2,0,3,NM
box,N,N,N,1,2,2,3,N
atn,NM,N,V,0,2,0,3,NM
State,N,N,N,1,2,2,3,N
attrs,N,N,NPL,0,1,0,3,NPL
avg,NM,N,N,0,2,0,3,N
1,N,N,D,1,2,2,3,D
avg,NM,N,N,0,2,0,3,NM
Map,N,N,N,1,2,2,3,N
base,NM,NM,V,0,2,0,3,NM
Category,N,N,N,1,2,2,3,N
base,NM,N,N,0,2,0,3,NM
transform,N,V,V,1,2,2,3,N
best,NM,NM,NM,0,2,0,3,NM
b,N,N,N,1,2,2,3,N
best,NM,NM,NM,0,2,0,3,NM
Node,N,N,N,1,2,2,3,N
best,NM,NM,NM,0,2,0,3,NM
Style,N,N,N,1,2,2,3,N
bind,NM,N,V,0,2,0,3,NM
Matrix,N,N,N,1,2,2,3,N
binormal,NM,N,NM,0,2,0,3,NM
type,N,N,N,1,2,2,3,N
byte,NM,N,N,0,2,0,3,NM
Count,N,N,N,1,2,2,3,N
byte,NM,N,N,0,2,0,3,NM
Src,N,N,N,1,2,2,3,N
cache,NM,N,N,0,3,0,3,NM
Body,NM,N,N,1,3,1,3,N
Unbuffered,N,N,N,2,3,2,3,NM
cache,NM,N,N,0,2,0,3,NM
Entity,N,N,N,1,2,2,3,N
cam,NM,N,V,0,3,0,3,NM
Rot,NM,N,N,1,3,1,3,NM
Z,N,N,N,2,3,2,3,N
cap,NM,N,N,0,2,0,3,NM
Times,N,N,N,1,2,2,3,NPL
cb,NM,N,P,0,2,0,3,NM
result,N,N,N,1,2,2,3,N
cell,NM,N,N,0,2,0,3,NM
Cursor,N,N,N,1,2,2,3,N
Ch,N,N,N,0,1,0,3,N
check,NM,N,V,0,2,0,3,V
Next,DT,NM,N,1,2,2,3,N
child,NM,N,N,0,2,0,3,NM
Categories,N,N,NPL,1,2,2,3,NPL
clang,NM,N,N,0,3,0,3,PRE
Can,NM,N,V,1,3,1,3,NM
Ty,N,N,N,2,3,2,3,N
client,NM,N,N,0,2,0,3,NM
Certificates,N,N,NPL,1,2,2,3,NPL
clip,NM,V,V,0,3,0,3,NM
Dist,NM,N,N,1,3,1,3,NM
Bug,N,N,N,2,3,2,3,N
cmd,NM,N,NM,0,2,0,3,NM
Lines,N,N,N,1,2,2,3,NPL
cms,NM,N,V,0,2,0,3,NM
Pricer,N,N,N,1,2,2,3,N
code,NM,N,N,0,3,0,3,NM
Exception,NM,N,N,1,3,1,3,NM
Message,N,N,N,2,3,2,3,N
col,NM,N,N,0,3,0,3,NM
Length,NM,N,N,1,3,1,3,NM
Left,N,N,NM,2,3,2,3,N
compare,NM,V,V,0,4,0,3,V
Fields,NM,N,N,1,4,1,3,NPL
By,NM,P,P,2,4,1,3,P
Name,N,N,N,3,4,2,3,N
compiling,NM,N,NM,0,2,0,3,V
Contexts,N,N,NPL,1,2,2,3,NPL
cone,NM,N,N,0,2,0,3,NM
translation,N,N,N,1,2,2,3,N
control,NM,N,N,0,2,0,3,NM
Points,N,N,NPL,1,2,2,3,NPL
copy,NM,N,V,0,2,0,3,NM
Item,N,N,N,1,2,2,3,N
corr,NM,N,N,0,2,0,3,NM
QC,N,N,N,1,2,2,3,N
coterminal,NM,N,NM,0,2,0,3,NM
Model,N,N,N,1,2,2,3,N
cp,NM,N,P,0,2,0,3,N
1254,N,N,D,1,2,2,3,D
curr,NM,N,N,0,3,0,3,NM
Thread,NM,N,N,1,3,1,3,NM
Exception,N,N,N,2,3,2,3,N
current,NM,NM,NM,0,3,0,3,NM
Charuco,NM,N,N,1,3,1,3,NM
Corners,N,N,NPL,2,3,2,3,NPL
current,NM,NM,NM,0,3,0,3,NM
Open,NM,NM,N,1,3,1,3,NM
Shards,N,N,NPL,2,3,2,3,NPL
current,NM,NM,NM,0,2,0,3,NM
Sequence,N,N,N,1,2,2,3,N
d,NM,NM,N,0,2,0,3,NM
inf,N,N,N,1,2,2,3,N
DEFAULT,NM,N,N,0,4,0,3,NM
BLOCKED,NM,NM,N,1,4,1,3,NM
ITEM,NM,N,N,2,4,1,3,NM
COMPARATOR,N,N,N,3,4,2,3,N
default,NM,N,N,0,2,0,3,NM
look,N,N,N,1,2,2,3,N
dependencies,NM,N,V,0,2,0,3,NM
ST,N,N,N,1,2,2,3,N
DEPOT,NM,N,N,0,3,0,3,NM
MESSAGE,NM,N,N,1,3,1,3,NM
START,N,N,N,2,3,2,3,N
drift,NM,N,N,0,2,0,3,NM
term,N,N,N,1,2,2,3,N
dst,NM,N,V,0,2,0,3,NM
Saturation,N,N,N,1,2,2,3,N
dst,NM,N,N,0,3,0,3,NM
Type,NM,N,N,1,3,1,3,N
1,N,N,D,2,3,2,3,D
element,NM,N,N,0,2,0,3,NM
spec,N,N,N,1,2,2,3,N
end,NM,V,V,0,3,0,3,N
Of,NM,P,P,1,3,1,3,P
Input,N,N,N,2,3,2,3,N
enum,NM,N,N,0,2,0,3,NM
Count,N,N,N,1,2,2,3,N
equals,NM,N,V,0,2,0,3,NM
Builder,N,N,N,1,2,2,3,N
equals,NM,N,V,0,2,0,3,NM
Offset,N,N,N,1,2,2,3,N
error,NM,N,N,0,3,0,3,NM
Mark,NM,N,N,1,3,1,3,NM
Type,N,N,N,2,3,2,3,N
event,NM,N,N,0,2,0,3,N
0,N,N,D,1,2,2,3,D
executors,N,N,NPL,0,1,0,3,NPL
expect,NM,N,V,0,2,0,3,NM
rows,N,N,NPL,1,2,2,3,NPL
expected,NM,NM,NM,0,2,0,3,NM
String,N,N,N,1,2,2,3,N
extra,NM,NM,NM,0,3,0,3,NM
Inhabitants,NM,N,N,1,3,1,3,NM
Mask,N,N,N,2,3,2,3,N
extra,NM,NM,NM,0,2,0,3,NM
Interfaces,N,N,NPL,1,2,2,3,NPL
f,NM,N,N,0,2,0,3,NM
Cos,N,N,N,1,2,2,3,N
f,NM,N,N,0,3,0,3,NM
curve,NM,N,N,1,3,1,3,N
Found,N,N,N,2,3,2,3,V
f,NM,N,N,0,3,0,3,NM
m,NM,NM,N,1,3,1,3,NM
m,NM,N,N,2,3,2,3,N
f,NM,FAILURE,N,0,3,0,3,PRE
Ptr,NM,FAILURE,N,1,3,1,3,NM
Out,N,FAILURE,VM,2,3,2,3,N
face,NM,N,N,0,2,0,3,NM
index,N,N,N,1,2,2,3,N
factory,NM,N,N,0,2,0,3,NM
Class,N,N,N,1,2,2,3,N
fast,NM,V,NM,0,3,0,3,VM
Load,NM,N,N,1,3,1,3,V
Success,N,N,N,2,3,2,3,N
feature,NM,N,V,0,2,0,3,NM
Iterator,N,N,N,1,2,2,3,N
field,NM,N,N,0,3,0,3,NM
Offset,NM,N,N,1,3,1,3,NM
Vector,N,N,N,2,3,2,3,N
filter,NM,N,N,0,2,0,3,NM
Spec,N,N,N,1,2,2,3,N
finished,NM,FAILURE,NM,0,2,0,3,V
Normally,N,FAILURE,VM,1,2,2,3,VM
first,NM,NM,VM,0,2,0,3,NM
Space,N,N,N,1,2,2,3,N
fixed,NM,NM,NM,0,2,0,3,NM
Cam,N,N,N,1,2,2,3,N
fixed,NM,NM,NM,0,3,0,3,NM
Leg,NM,N,N,1,3,1,3,NM
Frequency,N,N,N,2,3,2,3,N
followUp,N,N,N,0,1,0,3,N
forked,NM,NM,NM,0,2,0,3,V
iter,N,N,N,1,2,2,3,N
format,NM,V,N,0,2,0,3,N
OK,N,N,NM,1,2,2,3,NM
free,NM,NM,NM,0,2,0,3,NM
Positions,N,N,NPL,1,2,2,3,NPL
from,NM,P,P,0,4,0,3,P
Local,NM,NM,N,1,4,1,3,NM
Aabb,NM,N,N,2,4,1,3,NM
Min,N,N,N,3,4,2,3,N
future,NM,NM,NM,0,3,0,3,NM
Active,NM,NM,NM,1,3,1,3,NM
Doc,N,N,N,2,3,2,3,N
generate,NM,V,V,0,4,0,3,V
Rule,NM,N,N,1,4,1,3,NM
Bypass,NM,N,N,2,4,1,3,NM
Transitions,N,N,NPL,3,4,2,3,NPL
generated,NM,FAILURE,NM,0,4,0,3,NM
Token,NM,FAILURE,N,1,4,1,3,N
On,NM,FAILURE,N,2,4,1,3,P
Creation,N,FAILURE,N,3,4,2,3,N
have,NM,V,V,0,2,0,3,V
Mask,N,N,N,1,2,2,3,N
id,NM,N,P,0,2,0,3,N
