TYPE,SPLIT,CONTEXT,GRAMMAR_PATTERN,LANGUAGE,SYSTEM_NAME
class,Abstract Async Event Handler,CLASS,NM NM NM N,Java,netpulse
class,Abstract Base Class,CLASS,NM NM N,Java,springcore
class,Abstract Event Processor,CLASS,NM NM N,Java,springcore
class,Abstract Handler,CLASS,NM N,Java,springcore
class,Abstract Message Broker,CLASS,NM NM N,Java,netpulse
class,Abstract Pipeline Stage,CLASS,NM NM N,C++,prism
class,Abstract Syntax Tree,CLASS,NM NM N,C++,corelib
class,Abstract Syntax Tree Node,CLASS,NM NM NM N,C++,corelib
class,Abstract Visitor,CLASS,NM N,C++,corelib
void,accept Connection,FUNCTION,V N,C,blitz
void,accept Incoming Connection,FUNCTION,V NM N,C,nexus
int,access Level,ATTRIBUTE,NM N,C++,sigma
unsigned,access Time,ATTRIBUTE,NM N,C,coda
class,Accumulator,CLASS,N,C++,quark
void,acknowledge Receipt,FUNCTION,V N,Java,netpulse
void,acquire And Lock Mutex,FUNCTION,V CJ V N,C++,oxide
void,acquire Lock,FUNCTION,V N,C++,oxide
void,acquire Or Block,FUNCTION,V CJ V,C++,oxide
Collection,action To Index Map,DECLARATION,N P NM N,Java,springcore
boolean,active Fields,ATTRIBUTE,NM NPL,Java,springcore
bool,active Polling Threads,DECLARATION,NM NM NPL,Java,netpulse
bool,active Session Count,DECLARATION,NM NM N,Java,cloudkit
bool,active Sessions,DECLARATION,NM NPL,Java,cloudkit
boolean,active Users,DECLARATION,NM NPL,Java,springcore
bool,active Visible Rows,DECLARATION,NM NM NPL,Java,gridview
void,add Item To Cache,FUNCTION,V N P N,Java,bytecraft
Collection,add To List,FUNCTION,V P N,Java,bytecraft
vector,add To Queue,FUNCTION,V P N,C++,vortex
size_t,address And Port,PARAMETER,N CJ N,C,volt
void,adjust To Camera,FUNCTION,V P N,C++,apex
void,aeon allocate block,FUNCTION,PRE V N,C,aeon
long,aeon block,DECLARATION,PRE N,C,aeon
void,aeon free region,FUNCTION,PRE V N,C,aeon
