TYPE	SPLIT	CONTEXT	GRAMMAR_PATTERN	LANGUAGE	SYSTEM_NAME	GITHUB_URL
int	pfcp up function features o9 flags	DECLARATION	PRE NM N V NM NPL	C	wireshark	https://github.com/wireshark/wireshark
bool	nla invert combine value	FUNCTION	PRE V NM N	C	blender	https://github.com/blender/blender
void	presentation Start From First	FUNCTION	PRE V P DT	C++	calligra	https://github.com/KDE/calligra
boolean	at Least One Write	ATTRIBUTE	VM VM D V	Java	drill	https://github.com/apache/drill
bool	btn down for dig	ATTRIBUTE	N VM P V	C++	freeminer	https://github.com/freeminer/freeminer
void	dof reg handoff dpp0	FUNCTION	PRE V NM N	C	wireshark	https://github.com/wireshark/wireshark
int	INVERSE COMPUTE FOR WORD OF ALL 1S	ATTRIBUTE	NM N P N P DT NPL	Java	guava	https://github.com/google/guava
u_int8_t	ip6 h nxt	ATTRIBUTE	PRE N DT	C	ovs	https://github.com/openvswitch/ovs
int*	irc color convert rgb 2 irc	FUNCTION	PRE PRE V N P N	C	weechat	https://github.com/weechat/weechat
void	dialog info update	FUNCTION	NM NM N	C	gimp	https://github.com/GNOME/gimp
GLboolean	EGLEW KHR stream fifo	ATTRIBUTE	PRE PRE NM N	C	blender	https://github.com/blender/blender
void	H Wnd	ATTRIBUTE	PRE N	C	irrlicht	https://github.com/zaki/irrlicht
List	keep Readability Only On Descendants	FUNCTION	V N VM P NPL	Java	jenkins	https://github.com/jenkinsci/jenkins
bool	last Token Was Delete Or Default	DECLARATION	DT N V N CJ N	C++	kdevelop	https://github.com/KDE/kdevelop
AtomicBoolean	m is Worker Done	ATTRIBUTE	PRE V N V	Java	openFrameworks	https://github.com/openframeworks/openFrameworks
ImVec2	size on first use	PARAMETER	N P DT N	C	bullet3	https://github.com/bulletphysics/bullet3
stringt	text Chopped 2	DECLARATION	N NM D	C	swift	https://github.com/apple/swift
Map	token Store Typed Data	DECLARATION	NM NM NM N	Java	jenkins	https://github.com/jenkinsci/jenkins
void	V URL Encode	FUNCTION	PRE N V	C++	bullet3	https://github.com/bulletphysics/bullet3
AtomicInteger	weak Ref Lost	ATTRIBUTE	NM N NM	Java	jenkins	https://github.com/jenkinsci/jenkins
int*	checkout create the new	FUNCTION	V V DT N	C	git2r	https://github.com/ropensci/git2r
List	column Statistics V1s	DECLARATION	NM NM NPL	Java	drill	https://github.com/apache/drill
int	conv in channels	ATTRIBUTE	NM NM NPL	C++	caffe	https://github.com/BVLC/caffe
bool	force fog off	ATTRIBUTE	V N VM	C++	freeminer	https://github.com/freeminer/freeminer
int*	friend in close	FUNCTION	N P N	C	toxcore	https://github.com/TokTok/c-toxcore
boolean	if Present	PARAMETER	CJ N	Java	immutables	https://github.com/immutables/immutables
void	l2 norm transform	FUNCTION	NM N V	C	meta	https://github.com/meta-toolkit/meta
u64	last time ms	ATTRIBUTE	DT NM N	C++	freeminer	https://github.com/freeminer/freeminer
String	LAYER FIELD POOL 1D SIZE	ATTRIBUTE	NM NM NM NM N	Java	deeplearning4j	https://github.com/eclipse/deeplearning4j
JComboBox	look and feel	ATTRIBUTE	V CJ V	Java	Spark	https://github.com/apache/spark
int	nxt in	ATTRIBUTE	DT N	C	rigraph	https://github.com/igraph/rigraph
bool	on Transport Ready Common	FUNCTION	P NM NM N	C++	proxygen	https://github.com/facebook/proxygen
int	parallel for	FUNCTION	NM N	C++	deeplearning4j	https://github.com/eclipse/deeplearning4j
