TYPE,IDENTIFIER,GRAMMAR_PATTERN,WORD,POSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG,SYSTEM,IDENTIFIER_CODE
void,add_before_forward,V P N,forward,2,2,4,N,cloned_repositories/caffe.git/include/caffe/net.hpp,0
void,add_before_forward,V P N,before,1,1,4,P,cloned_repositories/caffe.git/include/caffe/net.hpp,0
void,add_before_forward,V P N,add,0,0,4,V,cloned_repositories/caffe.git/include/caffe/net.hpp,0
bool,has_run_at_least_once_,V V VM VM VM,has,0,0,1,V,cloned_repositories/caffe.git/include/caffe/util/benchmark.hpp,1
bool,has_run_at_least_once_,V V VM VM VM,run,1,1,1,V,cloned_repositories/caffe.git/include/caffe/util/benchmark.hpp,1
bool,has_run_at_least_once_,V V VM VM VM,at,2,1,1,VM,cloned_repositories/caffe.git/include/caffe/util/benchmark.hpp,1
bool,has_run_at_least_once_,V V VM VM VM,least,3,1,1,VM,cloned_repositories/caffe.git/include/caffe/util/benchmark.hpp,1
bool,has_run_at_least_once_,V V VM VM VM,once,4,2,1,VM,cloned_repositories/caffe.git/include/caffe/util/benchmark.hpp,1
WhichMemory,data_or_diff,N CJ N,or,1,1,5,CJ,cloned_repositories/caffe.git/matlab/+caffe/private/caffe_.cpp,2
WhichMemory,data_or_diff,N CJ N,data,0,0,5,N,cloned_repositories/caffe.git/matlab/+caffe/private/caffe_.cpp,2
WhichMemory,data_or_diff,N CJ N,diff,2,2,5,N,cloned_repositories/caffe.git/matlab/+caffe/private/caffe_.cpp,2
void,Net_before_forward,PRE P N,forward,2,2,4,N,cloned_repositories/caffe.git/python/caffe/_caffe.cpp,3
void,Net_before_forward,PRE P N,before,1,1,4,P,cloned_repositories/caffe.git/python/caffe/_caffe.cpp,3
void,Net_before_forward,PRE P N,Net,0,0,4,PRE,cloned_repositories/caffe.git/python/caffe/_caffe.cpp,3
bool,g_curand_availability_logged,PRE NM N V,availability,2,1,3,N,cloned_repositories/caffe.git/src/caffe/common.cpp,4
bool,g_curand_availability_logged,PRE NM N V,curand,1,1,3,NM,cloned_repositories/caffe.git/src/caffe/common.cpp,4
bool,g_curand_availability_logged,PRE NM N V,g,0,0,3,PRE,cloned_repositories/caffe.git/src/caffe/common.cpp,4
bool,g_curand_availability_logged,PRE NM N V,logged,3,2,3,V,cloned_repositories/caffe.git/src/caffe/common.cpp,4
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,and,4,1,4,CJ,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,zero,3,1,4,D,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,a,1,1,4,N,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,a,5,1,4,N,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,b,7,2,4,N,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,ge,2,1,4,NM,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,lt,6,1,4,NM,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
bool*,is_a_ge_zero_and_a_lt_b,V N NM D CJ N NM N,is,0,0,4,V,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,5
int,even_dist,NM N,dist,1,2,5,N,cloned_repositories/ccv.git/lib/ccv_scd.c,6
int,even_dist,NM N,even,0,0,5,NM,cloned_repositories/ccv.git/lib/ccv_scd.c,6
int64_t,while_count,NM N,count,1,2,1,N,cloned_repositories/ccv.git/lib/nnc/_ccv_nnc_graph.h,7
int64_t,while_count,NM N,while,0,0,1,NM,cloned_repositories/ccv.git/lib/nnc/_ccv_nnc_graph.h,7
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,for,4,1,4,CJ,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,symbol,3,1,4,N,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,backward,5,2,4,N,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,tensor,2,1,4,NM,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,ccv,0,0,4,PRE,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_tensor_symbol_t,ccv_nnc_tensor_symbol_for_backward,PRE PRE NM N CJ N,nnc,1,1,4,PRE,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph_backward.c,8
ccv_nnc_symbolic_graph_t,while_graph,NM N,graph,1,2,5,N,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph.c,9
ccv_nnc_symbolic_graph_t,while_graph,NM N,while,0,0,5,NM,cloned_repositories/ccv.git/lib/nnc/ccv_nnc_symbolic_graph.c,9
ebb_after_write_cb,after_write_cb,P V N,cb,2,2,1,N,cloned_repositories/ccv.git/serve/ebb.h,10
ebb_after_write_cb,after_write_cb,P V N,after,0,0,1,P,cloned_repositories/ccv.git/serve/ebb.h,10
ebb_after_write_cb,after_write_cb,P V N,write,1,1,1,V,cloned_repositories/ccv.git/serve/ebb.h,10
ObjectFile,soFile,NM NM N,File,2,2,5,N,cloned_repositories/cling.git/lib/Interpreter/DynamicLibraryManagerSymbol.cpp,11
ObjectFile,soFile,NM NM N,s,0,0,5,NM,cloned_repositories/cling.git/lib/Interpreter/DynamicLibraryManagerSymbol.cpp,11
ObjectFile,soFile,NM NM N,o,1,1,5,NM,cloned_repositories/cling.git/lib/Interpreter/DynamicLibraryManagerSymbol.cpp,11
ASTNodeInfo,elseInfo,NM N,Info,1,2,3,N,cloned_repositories/cling.git/lib/Interpreter/DynamicLookup.cpp,12
ASTNodeInfo,elseInfo,NM N,else,0,0,3,NM,cloned_repositories/cling.git/lib/Interpreter/DynamicLookup.cpp,12
Stmt,elseReplacement,NM N,Replacement,1,2,3,N,cloned_repositories/cling.git/lib/Interpreter/DynamicLookup.cpp,13
Stmt,elseReplacement,NM N,else,0,0,3,NM,cloned_repositories/cling.git/lib/Interpreter/DynamicLookup.cpp,13
bool,ifUnique,CJ NM,if,0,0,5,CJ,cloned_repositories/cling.git/lib/Interpreter/Interpreter.cpp,14
bool,ifUnique,CJ NM,Unique,1,2,5,NM,cloned_repositories/cling.git/lib/Interpreter/Interpreter.cpp,14
PushTransactionRAII,TforDeser,N CJ N,for,1,1,3,CJ,cloned_repositories/cling.git/lib/Interpreter/LookupHelper.cpp,15
PushTransactionRAII,TforDeser,N CJ N,T,0,0,3,N,cloned_repositories/cling.git/lib/Interpreter/LookupHelper.cpp,15
PushTransactionRAII,TforDeser,N CJ N,Deser,2,2,3,N,cloned_repositories/cling.git/lib/Interpreter/LookupHelper.cpp,15
void,before_handle,P N,handle,1,2,4,N,cloned_repositories/crow.git/examples/example.cpp,16
void,before_handle,P N,before,0,0,4,P,cloned_repositories/crow.git/examples/example.cpp,16
request,after_handle,P N,handle,1,2,3,N,cloned_repositories/crow.git/include/crow/middleware.h,17
request,after_handle,P N,after,0,0,3,P,cloned_repositories/crow.git/include/crow/middleware.h,17
bool,all_space_after,DT N P,all,0,0,3,DT,cloned_repositories/crow.git/include/crow/mustache.h,18
bool,all_space_after,DT N P,space,1,1,3,N,cloned_repositories/crow.git/include/crow/mustache.h,18
bool,all_space_after,DT N P,after,2,2,3,P,cloned_repositories/crow.git/include/crow/mustache.h,18
bool,all_space_before,DT N P,all,0,0,3,DT,cloned_repositories/crow.git/include/crow/mustache.h,19
bool,all_space_before,DT N P,space,1,1,3,N,cloned_repositories/crow.git/include/crow/mustache.h,19
bool,all_space_before,DT N P,before,2,2,3,P,cloned_repositories/crow.git/include/crow/mustache.h,19
boolean,forBackprop,P N,Backprop,1,2,5,N,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java,20
boolean,forBackprop,P N,for,0,0,5,P,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/variational/VariationalAutoencoder.java,20
int,index_as_child,V P N,child,2,2,1,N,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,21
int,index_as_child,V P N,as,1,1,1,P,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/impl/ctcBeam.cpp,21
