
=======================================================

DecisionTreeClassifier
     t/p 	    D	    N	   NM	  NPL	OTHER	    P	  PRE	    V	
        D	  6.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	
        N	  0.0	241.0	 31.0	  2.0	  0.0	  2.0	  0.0	  3.0	
       NM	  0.0	  9.0	389.0	  0.0	  4.0	  3.0	  0.0	  5.0	
      NPL	  0.0	 13.0	  3.0	 51.0	  0.0	  0.0	  0.0	  0.0	
    OTHER	  0.0	  1.0	  3.0	  0.0	  3.0	  0.0	  0.0	  0.0	
        P	  0.0	  3.0	  1.0	  0.0	  0.0	 12.0	  0.0	  0.0	
      PRE	  0.0	  0.0	 17.0	  0.0	  0.0	  3.0	  0.0	  6.0	
        V	  0.0	  5.0	 14.0	  1.0	  0.0	  0.0	  0.0	 57.0	

=======================================================

DecisionTreeClassifier
     t/p 	    D	    N	   NM	  NPL	OTHER	    P	  PRE	    V	
        D	  6.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	
        N	  0.0	254.0	 34.0	  0.0	  3.0	  0.0	  1.0	  2.0	
       NM	  0.0	 15.0	370.0	  1.0	  0.0	  1.0	  2.0	  3.0	
      NPL	  0.0	 23.0	  5.0	 33.0	  0.0	  0.0	  1.0	  0.0	
    OTHER	  0.0	  1.0	  3.0	  0.0	  2.0	  1.0	  0.0	  3.0	
        P	  0.0	  2.0	  3.0	  0.0	  0.0	 20.0	  0.0	  0.0	
      PRE	  0.0	  1.0	  9.0	  0.0	  0.0	  3.0	  8.0	  4.0	
        V	  0.0	 17.0	 13.0	  0.0	  1.0	  0.0	  2.0	 41.0	
