TYPE,NAME,CONTEXT,LANGUAGE,FILE,LINE_NUMBER,SPLIT_IDENTIFIER,GRAMMAR_PATTERN
bool,is_1x1_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,93,is 1 x 1,V D P D
bool,force_nd_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,94,force nd im 2 col,V NM N P N
int,num_kernels_im2col_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,159,num kernels im 2 col,NM NPL N P N
int,num_kernels_col2im_,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,160,num kernels col 2 im,NM NPL N P N
bool,skip_im2col,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/layers/base_conv_layer.hpp,46,skip im 2 col,V N P N
void,tempData2,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 2,NM N D
void,tempData1,ATTRIBUTE,C++,cloned_repositories/caffe.git/include/caffe/layers/cudnn_lcn_layer.hpp,43,temp Data 1,NM N D
class,Im2colLayer,CLASS,C++,cloned_repositories/caffe.git/include/caffe/layers/im2col_layer.hpp,60,Im 2 col Layer,N P N N
V1LayerParameter,v0_layer_connection,PARAMETER,C++,cloned_repositories/caffe.git/include/caffe/util/upgrade_proto.hpp,38,v 0 layer connection,N D NM N
shared_ptr,rank0,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/parallel.cpp,261,rank 0,N D
bool,kIm2Col,DECLARATION,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,216,k Im 2 Col,NM N P N
bool,im2col,PARAMETER,C++,cloned_repositories/caffe.git/src/caffe/util/im2col.cpp,70,im 2 col,N P N
bool,UpgradeV1LayerParameter,FUNCTION,C++,cloned_repositories/caffe.git/src/caffe/util/upgrade_proto.cpp,692,Upgrade V 1 Layer Parameter,V N D NM N
ccv_cnnp_model_t,conv0,DECLARATION,C,cloned_repositories/ccv.git/bin/nnc/coco.c,30,conv 0,N D
Fts5Table,pFts5,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,240538,p Fts5,PRE PRE
int,bStat1,ATTRIBUTE,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,212677,b Stat 1,PRE N D
void,sqlite3Fts3SegReaderFree,DECLARATION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,176881,sqlite3 Fts3 Seg Reader Free,PRE PRE NM N V
int*,sqlite3_rtree_geometry_callback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,204390,sqlite3 rtree geometry callback,PRE PRE NM N V
int*,sqlite3Fts5ParserFallback,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,221291,sqlite3 Fts5 Parser Fallback,PRE PRE N V
void,sqlite3Put4byte,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,34584,sqlite3 Put 4 byte,PRE V D N
void*,fts5SegIterClear,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,229592,fts5 Seg Iter Clear,PRE NM N V
void*,sqlite3Fts3HashInsert,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,185048,sqlite3 Fts3 Hash Insert,PRE PRE N V
With*,sqlite3WithDup,FUNCTION,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,105114,sqlite3 With Dup,PRE P V
fts5yyParser,fts5yypParser,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,220383,fts5 yyp Parser,PRE NM N
Mem,pMem1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,84995,p Mem 1,PRE N D
u8,aOldRecord1,PARAMETER,C,cloned_repositories/ccv.git/lib/3rdparty/sqlite3/sqlite3.c,213327,a Old Record 1,PRE NM N D
float,hbp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/compare/ccv_nnc_max_cpu_ref.c,189,hbp 1,N D
float32x4_t,dn1x2,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/convolution/cpu_opt/_ccv_nnc_conv_cpu_4x4_3x3_winograd.c,1876,dn 1 x 2,N D P D
float,hp1,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,1517,hp 1,N D
float,cp0,DECLARATION,C,cloned_repositories/ccv.git/lib/nnc/cmd/ew/ccv_nnc_ew_cpu_ref.c,711,cp 0,N D
uint32_t,unknown24,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,381,unknown 24,N D
uint32_t,unknown20,DECLARATION,C++,cloned_repositories/cling.git/lib/Interpreter/IncrementalCUDADeviceCompiler.cpp,380,unknown 20,N D
class,BypassComparison_8192x8192,CLASS,Java,cloned_repositories/deeplearning4j.git/contrib/benchmarking_nd4j/src/main/java/org/nd4j/bypass/BypassComparison_8192x8192.java,41,Bypass Comparison 8192 x 8192,NM N D P D
ArrayList,paths2,DECLARATION,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/io/filters/RandomPathFilter.java,73,paths 2,NPL D
int,B1110,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/datavec/datavec-api/src/main/java/org/datavec/api/records/IOUtils.java,259,B 1110,N D
String,LAYER_FIELD_POOL_1D_SIZE,ATTRIBUTE,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/config/Keras1LayerConfiguration.java,87,LAYER FIELD POOL 1D SIZE,NM NM N NM NM
class,KerasConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasConvolution2D.java,146,Keras Convolution 2D,PRE N NM
class,KerasDepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasDepthwiseConvolution2D.java,228,Keras Depthwise Convolution 2D,PRE NM N NM
class,KerasUpsampling1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasUpsampling1D.java,95,Keras Upsampling 1D,PRE N NM
class,KerasZeroPadding1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/convolutional/KerasZeroPadding1D.java,99,Keras Zero Padding 1D,PRE NM N NM
class,Keras2DEmbedding,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-modelimport/src/main/java/org/deeplearning4j/nn/modelimport/keras/layers/embeddings/Keras2DEmbedding.java,234,Keras 2D Embedding,PRE NM N
class,DL4JInvalidInputException,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/exception/DL4JInvalidInputException.java,36,DL4J Invalid Input Exception,PRE NM NM N
class,Regression2dAdapter,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/adapters/Regression2dAdapter.java,45,Regression 2D Adapter,NM NM N
class,Cropping1D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/convolutional/Cropping1D.java,157,Cropping 1D,N NM
class,DepthwiseConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/DepthwiseConvolution2D.java,221,Depthwise Convolution 2D,NM N NM
class,SeparableConvolution2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/SeparableConvolution2D.java,280,Separable Convolution 2D,NM N NM
class,Upsampling2D,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/conf/layers/Upsampling2D.java,181,Upsampling 2D,N NM
INDArray,im2col2d,DECLARATION,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-nn/src/main/java/org/deeplearning4j/nn/layers/convolution/ConvolutionLayer.java,189,im 2 col 2d,N P N NM
class,YOLO2,CLASS,Java,cloned_repositories/deeplearning4j.git/deeplearning4j/deeplearning4j-zoo/src/main/java/org/deeplearning4j/zoo/model/YOLO2.java,191,YOLO 2,N D
int,col1,PARAMETER,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/helpers/cpu/svd.cpp,540,col 1,N D
LongType,colStride1,DECLARATION,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/convolutions_col2vol.cpp,48,col Stride 1,NM N D
LongType,volStride1,DECLARATION,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/convolutions_col2vol.cpp,56,vol Stride 1,NM N D
LongType,oStride0,DECLARATION,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/convolutions_pooling3d.cpp,59,o Stride 0,NM N D
auto,merged1,ATTRIBUTE,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp,345,merged 1,N D
auto,merged3,ATTRIBUTE,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp,347,merged 3,N D
double,x3mean,ATTRIBUTE,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp,324,x 3 mean,N D N
X,buffPtr2,ATTRIBUTE,C++,cloned_repositories/deeplearning4j.git/libnd4j/include/ops/declarable/helpers/cpu/summaryReductions.hpp,332,buff Ptr 2,NM N D
DoublePointer,arg18,PARAMETER,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java,987,arg 18,N D
long,arg31,PARAMETER,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/BLASLapackDelegator.java,6476,arg 31,N D
class,BaseLevel1,CLASS,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel1.java,514,Base Level 1,NM N D
class,BaseLevel3,CLASS,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/api/blas/impl/BaseLevel3.java,319,Base Level 3,NM N D
int,newShape2,DECLARATION,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/checkutil/NDArrayCreationUtil.java,461,new Shape 2,NM N D
INDArray,conv2d,FUNCTION,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-api-parent/nd4j-api/src/main/java/org/nd4j/linalg/convolution/Convolution.java,361,conv 2D,N NM
long,arg26,PARAMETER,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-cuda/src/main/java/org/nd4j/linalg/jcublas/blas/CudaBLASDelegator.java,10275,arg 26,N D
long,arg29,PARAMETER,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-backends/nd4j-backend-impls/nd4j-native/src/main/java/org/nd4j/linalg/cpu/nativecpu/OpenblasLapackDelegator.java,11856,arg 29,N D
double,bfloat16ToDouble,FUNCTION,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-common/src/main/java/org/nd4j/common/util/ArrayUtil.java,782,b float 16 To Double,PRE N D P N
Indexer,bfloat16Indexer,DECLARATION,Java,cloned_repositories/deeplearning4j.git/nd4j/nd4j-tvm/src/main/java/org/nd4j/tvm/util/TVMUtils.java,224,b float 16 Indexer,PRE N D N
uint32_t,r8,ATTRIBUTE,C,cloned_repositories/facebook-repo-ds2.git/Headers/DebugServer2/Architecture/ARM/CPUState.h,55,r 8,N D
