SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,POSITION,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,ENGLISHV_SCORE,CONTAINSLISTVERB,ENGLISHN_SCORE,METHODN_SCORE,METHODV_SCORE,CODEPRE_SCORE,METHODPRE_SCORE,ENGLISHPRE_SCORE,CONTAINSDIGIT,CONTAINSCLOSEDSET,SECOND_LAST_LETTER,FLAIR_POS
iterations per sample,iterations,0,3,1,0,2,115,9,0.3835111856460571,0.3773768246173858,0.3732026815414428,0.3773768246173858,0,0,0.1796593368053436,0,0.1697356849908828,0.4467461705207824,0.2598763704299927,0.0721110850572586,0.1032899022102356,0.0063963928259909,False,False,110,NNS IN NN
action To Index Map,map,2,4,1,3,0,112,8,0.5275279879570007,0.4328161180019378,0.491039901971817,0.4328161180019378,0,0,0.28079554438591,0,0.2575334906578064,-0.1534519791603088,-0.0746730417013168,0.3096340596675873,0.0977493748068809,-0.0478582344949245,False,False,97,NN IN NNP NNP
auth Result,auth,0,2,5,0,3,104,8,0.439351350069046,0.3673229813575744,0.3813141882419586,0.3673229813575744,0,0,0.2895703911781311,0,0.2447511702775955,0.2007211148738861,0.1250786781311035,0.2089187800884246,0.0787914842367172,0.065923273563385,False,False,116,NN NN
Dispatch Mask Buffer Iterator,mask,1,4,2,1,2,107,8,0.5769800543785095,0.4177283346652984,0.4509121179580688,0.4177283346652984,0,0,0.2635464668273926,0,0.1966444849967956,0.0559206344187259,0.0229491144418716,0.1856973022222519,0.1199616864323616,-0.0552170164883136,False,False,115,NN NNP NNP NNP
char strings,strings,2,2,1,1,0,115,9,0.4603063464164734,0.3720967471599579,0.4260086119174957,0.3720967471599579,0,0,0.2684780657291412,0,0.1976362317800521,0.2161114513874054,0.1650278121232986,0.2694440484046936,0.0796772539615631,-0.0444676466286182,False,False,103,NN NNS
next qh,next,0,2,1,0,0,116,4,0.5643186569213867,0.5692675709724426,0.6541454792022705,0.5692675709724426,0,1,0.2708970606327057,0,0.1912891119718551,-0.2188187539577484,-0.192200094461441,0.1583672612905502,-0.0067186928354203,-0.0860680043697357,False,False,120,JJ UH
tox self set no spam,spam,2,5,4,4,0,109,8,0.4149607419967651,0.3358730375766754,0.3660380840301513,0.3358730375766754,0,0,0.2058934420347213,0,0.1902408152818679,0.0,0.0,-0.0177845079451799,0.0,-0.0576405860483646,False,False,97,NN NN VBD DT NN
sqlite3 session config,session,1,3,4,1,0,110,8,0.4448142647743225,0.3991448283195495,0.4445310831069946,0.3991448283195495,0,0,0.2455058246850967,0,0.2112338840961456,0.1303738951683044,0.1782517433166504,0.2224006503820419,0.0006064260960556,-0.0941726416349411,False,False,111,NN NN NN
sqlite3 Fts3 Hash Insert,insert,2,4,4,3,0,116,8,0.6350110769271851,0.4496871829032898,0.4878149628639221,0.4496871829032898,0,0,0.3122841715812683,1,0.2806977927684784,-0.1287380158901214,-0.1750769913196563,0.012389238923788,0.0184280704706907,0.0531333424150943,False,False,114,NN NNP NNP NN
row Type 1,type,1,3,5,1,3,101,8,0.5841405391693115,0.492459088563919,0.4904773533344269,0.492459088563919,0,0,0.3618369102478027,0,0.3988646566867828,-0.1120213642716407,-0.041724719107151,0.2128151804208755,0.0030108662322163,-0.0103895599022507,True,False,112,NN NN CD
to Read Remaining,to,0,3,3,0,3,111,13,0.7179856896400452,0.608247697353363,0.7304670810699463,0.608247697353363,1,0,0.2719946205615997,0,0.1864666491746902,0.0445503666996955,0.0361546128988266,0.2124986797571182,0.0713766515254974,-0.0714837536215782,False,False,116,TO VB NN
by,by,0,1,1,0,3,121,3,0.4768120348453522,0.55366450548172,0.7129414081573486,0.55366450548172,1,0,0.176923781633377,0,0.182235836982727,0.1572227329015731,0.2168506681919098,0.2895918786525726,0.0858607068657875,-0.0226938910782337,False,True,98,IN
accelerometer Data,data,2,2,5,1,0,97,9,0.5200356841087341,0.4339498579502105,0.4586944878101349,0.4339498579502105,0,0,0.2915828824043274,0,0.2833558022975921,-0.0607527047395706,0.0304912701249122,0.1752039343118667,0.0927122384309768,-0.0659162998199462,False,False,116,NN NNS
n water or ice,or,1,4,3,2,2,114,0,0.6098389625549316,0.672450065612793,0.645375669002533,0.672450065612793,0,0,0.3270545899868011,0,0.3044660687446594,-0.1045800447463989,-0.1021809428930282,0.0863437056541442,0.1068083345890045,0.0803120285272598,False,False,111,NFP NN CC NN
discount Factor,discount,0,2,5,0,2,116,8,0.6202090382575989,0.4752998650074005,0.5030786991119385,0.4752998650074005,0,0,0.2371183335781097,0,0.2066229581832885,0.0,0.0,-0.0523074232041835,0.0,-0.082684651017189,False,False,110,NN NN
EMBEDDED VERSION,embedded,0,2,1,0,3,100,17,0.5545548796653748,0.4750908315181732,0.5802412629127502,0.4750908315181732,0,0,0.3433862030506134,0,0.3140382468700409,0.2755394577980041,0.2686463594436645,-0.0497843548655509,0.0237766541540622,-0.0973112732172012,False,False,101,VBN NN
as Read Only,only,2,3,4,2,3,121,11,0.6712982654571533,0.7672916054725647,0.671415388584137,0.7672916054725647,0,0,0.2814128696918487,0,0.2165589332580566,0.2602484226226806,0.1895174980163574,0.0385151840746402,0.1503203064203262,-0.1172599792480468,False,False,108,IN NNP RB
Check Writeable,writeable,2,2,4,1,3,101,4,0.560870349407196,0.4948453605175018,0.5083965063095093,0.4948453605175018,0,0,0.2861726582050323,0,0.2368889600038528,0.0,0.0,0.033388003706932,0.0,-0.0120068406686186,False,False,108,VB JJ
