SPLIT_IDENTIFIER,WORD,NORMALIZED_POSITION,MAXPOSITION,CONTEXT_NUMBER,LANGUAGE,LAST_LETTER,NLTK_POS,VERB_SCORE,DET_SCORE,PREP_SCORE,ENGLISHV_SCORE,ENGLISHPRE_SCORE,POSITION_RATIO,ENGLISHN_SCORE,METHODV_SCORE,CONJ_SCORE,PREPOSITION,DETERMINER,CONTAINSDIGIT,CONTAINSCLOSEDSET,HTTP_POS
Token Type Decl,token,0,3,2,0,110,3,0.1945672780275344,0.2201308459043502,0.1351327300071716,0.0811939910054206,0.0521700754761695,0.0,0.1491104066371917,0.0076136216521263,0.2201308459043502,0,0,False,False,"Token|NM,Type|NM,Decl|N"
atn State,state,2,2,3,3,101,3,0.2067179083824157,0.1889798790216446,0.1537163704633712,-0.0399951972067356,-0.0097306594252586,0.5,0.0310098938643932,0.0266232807189226,0.1889798790216446,0,0,False,False,"atn|NM,State|N"
get data 4i,4i,2,3,4,1,105,2,0.0823281705379486,-0.0357104428112506,0.0612323060631752,0.034059539437294,0.3633575141429901,0.6666666666666666,0.1092306524515152,0.0,-0.0357104428112506,0,0,False,False,"get|V,data|NPL,4|P,i|N"
get Artificial Op Prec Rule,artificial,1,5,4,0,108,0,0.2020813971757888,0.1719109714031219,0.187077522277832,0.0206024628132581,0.0298807583749294,0.2,0.0781310722231864,0.0,0.1719109714031219,0,0,False,False,"get|V,Artificial|NM,Op|NM,Prec|NM,Rule|N"
no logo,logo,2,2,5,2,111,3,0.1299850642681121,0.102027915418148,0.1045518592000007,0.2378386557102203,0.1095857992768287,0.5,0.190698504447937,0.1536109298467636,0.102027915418148,0,0,False,False,"no|DT,logo|N"
bt Collision Shape,bt,0,3,2,1,116,3,0.1725756078958511,0.0432578176259994,0.1120292171835899,-0.0246209725737571,0.3429576158523559,0.0,-0.0097030438482761,0.1523886322975158,0.0432578176259994,0,0,False,False,"bt|NM,Collision|NM,Shape|N"
whole regexp,whole,0,2,1,0,101,0,0.2341208308935165,0.3403895795345306,0.2757956087589264,0.1211952194571495,0.0990478843450546,0.0,0.143025204539299,0.0,0.3403895795345306,0,0,False,False,"whole|NM,regexp|N"
copy primitives from,primitives,1,3,4,1,115,1,0.1005998775362968,0.0840165540575981,0.0661644041538238,0.2411417365074157,0.2060801088809967,0.3333333333333333,0.2614507973194122,0.1754227876663208,0.0840165540575981,0,0,False,True,"copy|V,primitives|NPL,from|P"
row Type 1,1,2,3,5,0,49,2,0.1091085225343704,0.119271732866764,0.2104614078998565,0.0366875939071178,0.2996620237827301,0.6666666666666666,0.0205252431333065,0.0,0.119271732866764,0,0,True,False,"row|NM,Type|NM,1|D"
skip Whitespace And Commas,skip,0,4,4,0,112,3,0.4071337580680847,0.2035192549228668,0.1862293034791946,0.1064002141356468,0.1063719391822815,0.0,0.1026823818683624,0.0322312265634536,0.2035192549228668,0,0,False,False,"skip|V,Whitespace|NM,And|CJ,Commas|N"
in name,name,2,2,5,1,101,3,0.2017556577920913,0.2188731729984283,0.1097858995199203,0.319180428981781,0.0729214772582054,0.5,0.2992879152297973,0.0233661886304616,0.2188731729984283,0,0,False,False,"in|NM,name|N"
reference Index Meta Datas,datas,2,4,1,0,115,1,0.0845006853342056,0.0740162059664726,0.0819154754281044,0.0847827270627021,0.1850774884223938,0.75,0.1387146860361099,0.0,0.0740162059664726,0,0,False,False,"reference|NM,Index|NM,Meta|NM,Datas|N"
Sort Collector Labels 1,collector,1,4,2,1,114,3,0.0814995840191841,0.07009968906641,0.0174562316387891,-0.0063528879545629,0.0615361928939819,0.25,0.0277312751859426,0.3144126832485199,0.07009968906641,0,0,True,False,"Sort|NM,Collector|NM,Labels|NM,1|D"
k 7,7,2,2,5,0,55,2,0.1134256571531295,0.1108452826738357,0.235246479511261,-0.0147336330264806,0.2119403183460235,0.5,-0.0137133887037634,0.0,0.1108452826738357,0,0,True,False,"k|NM,7|D"
init 2,init,0,2,4,1,116,3,0.1108184456825256,0.1409060806035995,0.0482008270919323,0.296612948179245,0.4172216057777405,0.0,0.3158085942268371,-0.2057580947875976,0.1409060806035995,0,0,True,False,"init|V,2|D"
factory Class,factory,0,2,3,0,121,3,0.1161265447735786,0.1126482263207435,0.1328339874744415,0.0016367855714634,0.0320382416248321,0.0,0.01432441547513,-0.0378445051610469,0.1126482263207435,0,0,False,False,"factory|NM,Class|N"
tox self set no spam,self,1,5,4,2,102,3,0.1535228788852691,0.2123878002166748,0.1574165672063827,0.0980974361300468,0.0760190710425376,0.2,0.0891131237149238,0.0378859937191009,0.2123878002166748,0,0,False,False,"tox|NM,self|NM,set|NM,no|DT,spam|N"
png init palette transformations,palette,1,4,4,1,101,3,0.1251658499240875,0.1058932691812515,0.0547125935554504,0.2133033275604248,0.0826597139239311,0.5,0.1632076054811477,0.3713830113410949,0.1058932691812515,0,0,False,False,"png|NM,init|NM,palette|NM,transformations|NPL"
m last used id,id,2,4,1,1,100,3,0.1107425019145011,0.1421974450349807,0.0769604966044426,0.2474091798067093,0.4983824491500854,0.75,0.2809996306896209,-0.0925729423761367,0.1421974450349807,0,0,False,False,"m|PRE,last|NM,used|NM,id|N"
pnm load raw pfm,pnm,0,4,4,0,109,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,"pnm|NM,load|NM,raw|NM,pfm|N"
