WORD,TAG,POS_SEQUENCE
of,PRE,of:PRE android:NM life:NM cycle:NM helper:N
2,D,cs:N 2:D
b64,NM,get:V b64:NM data:N
ccv,PRE,ccv:PRE nnc:PRE insert:V if:CJ prior:NM to:P any:DT
average,N,running:NM log:NM average:N
strategy,N,cache:NM strategy:N
expand,V,ares:PRE expand:V name:N for:P response:N
last,DT,last:DT activity:NM date:NM range:NM max:N
no,DT,add:V no:DT truncate:V cache:N
ko,PRE,ko:PRE main:NM window:NM private:NM
32,D,is:V 32:D
buckets,NPL,s3:PRE buckets:NPL
publish,NM,publish:NM response:N
ios,NPL,ios:NPL
strategy,N,verification:NM strategy:N
last,DT,after:P last:DT row:N
with,P,hash:N 64:D functions:NPL with:P seed:N
constructor,N,biggest:NM constructor:N
exception,NM,install:V uncaught:NM exception:NM handler:N
fx,NM,underlying:NM fx:NM correlation:N
interpolation,N,log:NM mixed:NM linear:NM cubic:NM interpolation:N
invocation,N,the:DT invocation:N
1,D,after:P 1:D
nonused,NM,kill:V nonused:NM tcp:N
client,N,for:P client:N
get,V,get:V phrase:NM 1:D
map,N,perlin:PRE map:N 3d:NM
user,N,user:N hook:NM 3:D
content,N,cbor:NM x:NM content:N
validated,V,to:P be:V validated:V
m,N,m:N annotation:N
un7zip,NM,un7zip:NM app:N
pem,NM,pem:NM key:N
attribute,N,group:NM role:NM attribute:N
from,P,from:P context:N
31,D,arg:N 31:D
ref,NM,rule:NM property:NM ref:NM start:N
16,D,b:PRE float:N 16:D to:P double:N
detection,NM,mention:NM detection:NM evaluator:N
write,V,write:V data:NPL page:N v:NM 2:D
list,N,as:P sorted:NM entry:NM list:N
previous,NM,previous:NM initial:NM value:N
pages,NPL,action:NM view:NM show:NM master:NM pages:NPL
too,VM,too:VM old:NM
output,N,node:N find:V output:N by:P name:N
animated,NM,c:PRE animated:NM mesh:NM scene:NM node:N
thread,NM,worker:NM thread:NM wait:V
parameter,N,upgrade:V v:N 1:D layer:NM parameter:N
reset,V,reset:V token:NM stats:NPL
before,P,all:DT space:NM before:P
fragment,NM,opposite:NM major:NM fragment:NM id:N
rc,N,rc:N identity:N
err,NM,store:NM last:DT err:NM no:N
pass,N,m:PRE shadow:NM receiver:NM pass:N
textures,NPL,ns:PRE find:V all:DT textures:NPL
map,N,as:P map:N
short,NM,short:NM too:VM
of,P,end:N of:P input:N
a,DT,a:DT low:N
refutable,NM,refutable:NM pattern:NM initialization:N
with,P,with:P schema:NM builder:N
use,V,use:V shadows:NM 1:D
format,N,index:NM to:P loc:NM format:N
web,NM,with:P web:NM socket:NM upgrade:N
down,P,down:P sample:N
data,NM,temp:NM data:NM 1:D
frame,N,set:V frame:N pen:N
str,N,str:N args:NPL
1d,NM,keras:PRE zero:NM padding:N 1d:NM
after,P,after:P last:DT row:N
list,N,add:V ordered:NM list:N
reference,N,some:DT reference:N
protos,NPL,next:DT protos:NPL
group,NM,max:NM work:N group:NM size:N
old,NM,a:PRE old:NM record:NM 1:D
gradient,N,adjusted:NM gradient:N
image,NM,new:NM image:NM height:N
emerge,V,no:DT emerge:V
have,V,have:V mask:N
only,VM,check:V content:N only:VM
node,N,last:DT rel:NM node:N
presentation,NM,presentation:NM start:V from:P first:NM
biggest,NM,biggest:NM constructor:N
tree,NM,validate:V tree:NM and:CJ parents:NPL
default,NM,default:NM auto:NM entry:N
first,N,before:P first:N
context,N,write:NM context:N
category,NM,category:NM filter:NM factory:N
item,NM,default:NM blocked:NM item:NM comparator:N
subj,N,gen:NM subj:N
tok,NM,next:DT tok:NM ptr:N
cam,N,fixed:NM cam:N
pref,NM,pref:NM font:N
u,NM,u:NM 1:D bit:NM count:N
from,P,from:P header:N
mixed,NM,log:NM mixed:NM linear:NM cubic:NM interpolation:N
and,CJ,with:P path:N and:CJ type:N
to,P,string:N conv:V base64:N 8:D x:P 3:D to:P 6:D x:P 4:D
read,V,read:V operation:N
next,DT,next:DT preprocessed:N
id,N,wat:NM id:N
iface,N,mod:NM iface:N
this,DT,this:DT host:N
out,NM,out:NM push:NM id:N
connection,NM,connection:NM 1:D
render,NM,m:PRE first:NM render:NM queue:N
data,N,get:V data:N 4i:NM
copy,N,m:PRE to:P copy:N
globals,NPL,shader:PRE data:NPL to:P shader:PRE globals:NPL
history,N,after:P join:V send:N history:N
this,DT,this:DT bucket:N
zoom,NM,zoom:NM x:N y:N
3,D,buf:NM 3:D
cleaner,N,certificate:NM chain:NM cleaner:N
random,NM,minimized:NM random:NM fa:N
container,N,name:NM container:N
that,DT,that:DT expr:N
2,D,xdf:NM 2:D
all,DT,fprint:V all:DT protocols:NPL for:P layer:NM types:NPL
normally,N,finished:V normally:N
for,P,btn:N down:P for:P dig:N
extra,NM,raw:NM extra:NM interfaces:NPL
private,NM,ko:PRE main:NM window:NM private:NM
img,NM,img:NM buffer:N original:N
valid,NM,is:V valid:NM trailing:NM closure:N
uploader,NM,singularity:PRE s3:PRE uploader:NM file:N
get,V,get:V working:NM directory:N
empty,NM,empty:NM directory:N
bytes,NPL,last:DT bytes:NPL
namespace,N,convert:V to:P php:NM namespace:N
basis,NM,lsm:NM basis:NM system:N
greedy,NM,non:NM greedy:NM states:NM builder:N
int64,N,as:P int64:N
charset,N,with:P charset:N
subtitle,NM,dvb:NM subtitle:NM reader:N
controller,NM,controller:NM value:N
store,NM,store:NM last:DT err:NM no:N
parent,N,add:V parent:N to:P host:N
for,P,for:P resource:N
bounds,NPL,selection:NM bounds:NPL
close,V,friend:N in:P close:V
2,D,vertex:N 0:D 2:D connected:N
len,N,atalk:NM len:N
1,D,mid:N 1:D
at,P,look:NM at:P
style,N,supported:V style:N
op,N,label:NM op:N
1,D,is:V 1:D x:P 1:D
bytes,NPL,bytes:NPL received:N
res,NPL,res:NPL width:N
only,VM,only:VM user:N
proto,NM,proto:NM classes:NPL
walk,N,random:NM walk:N
meta,NM,get:V meta:NM index:N
equals,NM,equals:NM offset:N
render,NM,m:PRE sky:NM plane:NM render:NM queue:N
inhabitants,NM,extra:NM inhabitants:NM mask:N
on,P,on:P icon:N
spread,N,register:V with:P volatility:NM spread:N
lemma,NM,word:NM lemma:NM tag:N
src,NM,src:NM start:NM idx:N
update,NM,cluster:NM update:NM settings:NM response:N
bug,N,clip:NM dist:NM bug:N
type,NM,x:N dnd:PRE type:NM list:N
from,P,from:P sv:N 4:D
buffer,NM,dump:V frame:N buffer:NM formats:NPL
are,V,are:V unities:NPL in:P shape:N
relative,NM,has:V view:PRE relative:NM texture:NM coordinate:NM generation:N
label,NM,label:NM casefold:N
caps,NPL,do:V caps:NPL
servers,NPL,irc:PRE notify:PRE new:NM for:P all:DT servers:NPL
with,P,with:P charset:N
odx,NM,odx:NM 1:D
exception,NM,code:NM exception:NM message:N
property,N,gimp:PRE canvas:NM rectangle:N set:V property:N
out,NM,out:NM audio:NM samples:NPL
page,NM,file:NM 2:P page:NM app:N
m,PRE,m:PRE text:NM types:NPL
col,N,im:N 2:D col:N
parser,NM,background:NM parser:NM private:NM
for,P,for:P class:N
other,N,dissect:V acdr:PRE ip:N or:CJ other:N
area,N,docking:NM area:N
to,P,ptr:N to:P handle:N
plus,P,byte:NM i:N plus:P 1:D
signing,N,s3:NM use:V v2:NM signing:N
type,NM,tile:NM parameter:NM default:NM type:NM internal:NM
table,N,make:V html:NM table:N
tables,NPL,change:V set:N for:P tables:NPL
m,N,m:N weaver:N
indices,NPL,concrete:NM follower:NM indices:NPL
fs,PRE,git:PRE fs:PRE path:N to:P dir:N
time,N,total:NM merge:NM throttled:NM time:N
in,N,nxt:NM in:N
next,DT,ptr:N next:DT
v,PRE,v:PRE proj:NM axis:N
h,N,ip6:PRE h:N nxt:N
config,N,from:P docker:NM config:N
contact,N,unblock:V contact:N 16:D x:P 16:D
gimp,PRE,gimp:PRE eraser:N default:N
igraph,PRE,igraph:PRE 2:D w:VM heap:N init:V
inner,N,igraph:PRE i:PRE get:V subisomorphisms:NPL vf:N 2:D inner:N
for,P,path:NM name:N for:P logs:NPL
failed,NM,resolved:NM failed:NM exception:N
pai,NM,pai:NM arg:N
heads,NPL,include:V all:DT fetch:NM heads:NPL
bridged,N,is:V return:N bridged:N
m,PRE,m:PRE last:DT changed:NM location:N
of,P,num:NM of:P after:P release:NM pdus:N
scheduler,N,runner:NM scheduler:N
names,NPL,remote:NM cluster:NM names:NPL
and,CJ,look:NM and:CJ feel:NM label:N
cout,N,m:PRE redirected:V cout:N
chars,NPL,target:N chars:NPL
default,NM,default:NM instance:NM void:N
time,N,last:DT heartbeat:NM time:N
host,N,invalid:NM host:N
path,N,sanitize:V path:N
image,NM,chat:NM cobrowse:NM image:NM 24:D x:P 24:D
dummy,NM,jflex:PRE dummy:NM lexer:N
host,N,obsess:V over:P host:N
unbuffered,N,cache:NM body:N unbuffered:N
count,N,u:NM 1:D bit:NM count:N
out,NM,out:NM d:NM g:NM
ref,N,local:NM ref:N
value,NM,bridged:NM value:NM fun:NM arg:N
playing,NM,playing:NM ch:N 2:D
next,DT,caffe:NM next:DT after:P
where,NM,sqlite3:NM where:NM trace:N
add,V,add:V no:DT truncate:V cache:N
supported,NM,minimum:NM supported:NM version:N
decimal,N,get:V decimal:N 9:D from:P big:NM decimal:N
revwalk,NM,revwalk:NM next:DT toposort:N
number,N,number:N of:P nodes:NPL
dot,NM,dot:NM generator:N
page,N,next:DT page:N from:P queue:N
apply,NM,apply:NM rewriter:N
shape,N,are:V unities:NPL in:P shape:N
next,DT,check:V next:DT
curl,N,s3fs:NM curl:N
define,N,define:N
filtered,NM,filtered:NM children:NPL
serialized,NM,serialized:NM form:N
exception,N,expected:NM exception:N
level,N,list:NM level:N
all,DT,all:DT cols:NPL indexed:V
ffmpeg,NM,internal:NM ffmpeg:NM register:N
key,N,odp:PRE nsh:N key:N from:P attr:N
get,V,get:V id:N for:P name:N
run,V,l:PRE set:V last:DT run:V mod:N
vv,NM,vv:NM 0:D
more,DT,more:DT data:N
size,N,layer:NM field:NM pool:NM 1d:NM size:N
httperf,NM,httperf:NM 2:D
connection,N,waiting:V for:P dht:NM connection:N
step,N,step:N no:N
median,N,current:NM median:N
1,D,host:N 1:D
input,NM,dual:NM con:NM input:NM reader:N
visible,N,nav:N visible:N
flags,NPL,own:NM flags:NPL
in,P,m:PRE in:P nanoseconds:NPL
shutdown,NM,on:P shutdown:NM request:N
parent,N,destroy:V with:P parent:N
type,N,error:NM mark:NM type:N
mod,N,message:N before:P mod:N
toc,NM,chapter:NM toc:NM frame:N
from,P,from:P jid:N
dim,N,light:NM dim:N
upd,N,next:DT upd:N
unit,N,x:N pixels:NPL per:P unit:N
check,V,check:V gl:NM support:N
metric,NM,on:P metric:NM removed:V
handler,N,install:V uncaught:NM exception:NM handler:N
1,D,set:V part:N 1:D
string,N,show:V string:N for:P add:V
cms,NM,with:P cms:NM leg:NM rule:N
y,N,from:P y:N
addr,NM,grpc:PRE sock:NM addr:NM make:V wildcards:NPL
leg,NM,inflation:NM leg:NM npv:N
as,P,as:P warning:N
4,D,string:N conv:V base64:N 6:D x:P 4:D to:P 8:D x:P 3:D
mirrors,NPL,all:DT mirrors:NPL
discount,NM,dividend:NM discount:NM mother:N
rename,V,rename:V object:N no:DT copy:N
processing,N,after:P processing:N
path,N,less:NM terminal:NM path:N
naming,NM,set:V project:NM naming:NM strategy:N
nsh,N,odp:PRE nsh:N key:N from:P attr:N
conv,N,conv:N rgba4444:N
ex,N,ex:N 1:D
no,DT,period:N no:DT period:N
write,V,to:P write:V
1,D,is:V 1:D x:P 1:D
change,N,echo:V path:NM change:N
str,N,number:NM str:N
2,D,v:N 2:D
data,N,token:NM store:NM typed:NM data:N
atm,NM,use:V atm:NM spread:N
cast,N,saturated:NM cast:N
keep,V,keep:V aspect:N
fts3,PRE,sqlite3:PRE fts3:PRE seg:NM reader:N free:V
generators,NPL,more:DT generators:NPL
dialog,N,fingerprint:NM dialog:N
ex,N,out:NM ex:N attributes:NPL
execute,V,on:P execute:V program:N
basic,NM,basic:NM replication:NM request:N
get,V,l:PRE get:V node:N or:CJ nil:NM
dx7,NM,dx7:NM device:NM guid:N
extra,NM,extra:NM inhabitants:NM mask:N
render,V,render:V text:N
func,N,unpack:V texture:NM blend:NM func:N
promises,NPL,promises:NPL
weights,NPL,learned:NM lop:V expert:NM weights:NPL 2:P d:N
pos,NM,score:NM pos:NM prev:NM
default,N,gimp:PRE eraser:N default:N
with,P,path:N with:P native:NM separators:NPL
faces,NM,set:V add:V faces:NM points:NPL
array,NM,array:NM class:N
next,DT,next:DT double:N
annotations,NPL,patterns:NM annotations:NPL
node,N,edges:NPL per:P node:N
default,NM,default:NM factory:N
no,DT,if:CJ no:DT val:N
list,N,out:NM list:N
info,N,plugin:PRE api:NM info:N color:NM rgb:N 2:P term:NM cb:N
listener,NM,tcp:NM slave:NM agent:NM listener:NM lock:N
shutdown,N,is:V blocked:NM by:P shutdown:N
order,V,order:V out:N
configuration,N,singularity:PRE s3:PRE uploader:NM configuration:N
p,PRE,p:PRE 2:D
m,N,m:N sbuf:N
set,V,set:V layer:NM texture:NM name:N
3,D,user:N hook:NM 3:D
all,DT,do:V all:DT sorted:V fn:N
add,V,add:V no:DT exist:V
comparison,NM,comparison:NM value:N
pfcp,PRE,pfcp:PRE up:NM function:N features:V o9:NM flags:NPL
socket,NM,inet:NM socket:NM address:N
sum,N,pd:NM sum:N
in,N,conn:NM in:N
1,D,u:NM 1:D bit:NM count:N
row,NM,png:NM get:V row:NM bytes:NPL
for,P,end:V for:P
in,P,in:P eq:NM more:DT than:P once:VM
attribute,NM,parse:V attribute:NM def:N
num,NM,num:NM of:P after:P release:NM pdus:N
build,V,build:V lexer:NM rule:NM actions:NPL
rule,NM,rule:NM options:NPL
decls,NPL,operator:NM method:NM decls:NPL
create,V,eglew:PRE create:V platform:NM window:NM surface:N
index,N,tbl:NM index:N
file,NM,file:NM 2:P page:NM app:N
step,N,last:DT saved:NM step:N
name,NM,out:NM name:NM index:N
vector,N,in:P vector:N
cmd,NM,run:V dist:NM cmd:NM prop:N
to,P,of:P to:P binary:N
statistics,NPL,column:NM statistics:NPL v:NM 1s:D
a,DT,a:DT change:N
merged,N,merged:N type:N
shader,PRE,shader:PRE data:NPL to:P shader:PRE globals:NPL
2,D,k:NM im:N 2:D col:N
copier,N,abstract:NM sv:N 2:D copier:N
only,VM,only:VM if:CJ existing:V
name,NM,p:PRE name:NM 2:D
cmd,N,cmd:N lines:NPL
rolling,NM,rolling:NM friction:NM demo:N
active,NM,clear:V active:NM id:N
verification,NM,verification:NM mode:NM factory:N
2,P,learned:NM lop:V expert:NM weights:NPL 2:P d:N
point,NM,ko:PRE path:NM point:NM remove:NM command:N private:NM
assertion,NM,m:PRE last:DT assertion:NM passed:N
titles,NPL,titles:NPL in:N
actions,NPL,build:V lexer:NM rule:NM actions:NPL
type,N,new:NM field:NM type:N
next,DT,next:DT names:NPL
errors,NPL,throw:V provision:NM exception:N if:CJ errors:NPL exist:V
tick,N,on:P tick:N
escalation,NM,is:V valid:NM escalation:NM for:P service:NM notification:N
shape,N,node:NM shape:N
y,N,line:NM y:N
part,N,set:V part:N 1:D
set,V,set:V project:NM naming:NM strategy:N
on,P,on:P query:NM current:NM thread:N
convolution,NM,keras:PRE depthwise:NM convolution:NM 2d:NM
paint,NM,combine:NM paint:NM mask:N to:P canvas:NM buffer:N to:P paint:NM buf:NM alpha:N
qh,N,next:DT qh:N
label,N,selection:NM width:NM label:N
next,DT,next:DT qh:N
separable,NM,separable:NM convolution:N 2d:NM
empty,N,use:V default:NM if:CJ empty:N
decl,N,context:NM token:NM list:NM indexed:NM getter:NM decl:N
validate,V,validate:V class:NM rules:NPL
more,DT,more:DT to:P follow:V
x,P,chat:NM cobrowse:NM image:NM 24:D x:P 24:D
document,N,one:NM document:N
singularity,PRE,singularity:PRE s3:PRE service:N
from,P,from:P key:N
for,P,irc:PRE notify:PRE new:NM for:P all:DT servers:NPL
ptr,N,ptr:N to:P handle:N
on,P,notified:V on:P
combine,NM,nla:PRE invert:V combine:NM value:N
scaling,N,present:NM scaling:N
next,DT,next:DT tok:NM ptr:N
side,NM,other:NM side:NM x:N
tracking,NM,s:NM tracking:NM system:NM name:N
option,N,lines:NPL per:P option:N
open,NM,all:DT open:NM indices:NPL
1s,D,inverse:V compute:NM for:P word:N of:P all:DT 1s:D
argb,PRE,argb:PRE subtract:V row:NM c:N
child,NM,child:NM statement:N
rel,NM,last:DT rel:NM node:N
string,NM,dump:V core:NM map:N to:P string:NM builder:N
started,N,target:N started:N
to,P,to:P merge:V
next,DT,next:DT field:N
find,V,s:NM set:V find:V and:CJ delete:V
url,N,context:NM url:N list:N
range,N,time:NM range:N
sound,NM,aud:PRE sound:NM envelope:N
8,D,x:N 8:D
near,P,in:NM near:P
out,N,buf:NM out:N
active,NM,num:NM active:NM contexts:NPL
code,N,out:NM code:N
all,DT,place:V all:DT
vf,N,igraph:PRE i:PRE get:V subisomorphisms:NPL vf:N 2:D inner:N
coordination,NM,last:DT coordination:NM id:N
if,NM,if:NM else:NM width:NM expr:N
entry,N,do:V login:NM entry:N
best,NM,in:P best:NM path:N
visit,N,to:N visit:N
chunks,NPL,png:NM get:V unknown:NM chunks:NPL
mp4,NM,mp4:NM input:N
do,V,do:V caps:NPL
millis,NPL,refresh:NM interval:NM in:P millis:NPL
of,P,last:DT index:N of:P dot:N
bias,N,m:PRE perspective:NM bias:N 1:D vertex:N
id,N,another:DT id:N
f1,N,f1:N score:N
corners,NPL,current:NM charuco:NM corners:NPL
