is,V,15
1,D,77
x,P,12
x,N,7
x,NM,1
x,D,1
force,V,3
nd,NM,1
im,N,8
2,P,18
2,D,71
col,N,10
col,NM,1
num,NM,4
num,N,5
kernels,NPL,2
skip,V,1
temp,NM,2
temp,N,1
data,N,12
data,NM,5
layer,N,4
layer,NM,5
v,N,12
v,NM,5
0,D,20
connection,N,6
rank,N,1
k,NM,4
k,N,3
upgrade,V,1
upgrade,NM,1
upgrade,N,1
parameter,N,3
conv,N,2
conv,V,3
conv,NM,3
p,PRE,4
p,N,6
fts5,PRE,5
b,PRE,5
b,N,6
stat,N,1
stat,NM,1
sqlite3,PRE,9
fts3,PRE,3
seg,NM,2
reader,N,1
free,V,4
rtree,PRE,1
geometry,NM,1
callback,N,2
parser,N,3
parser,NM,1
fallback,V,1
put,V,1
4,D,15
byte,N,1
byte,NM,1
iter,N,1
clear,V,2
hash,N,6
hash,NM,3
hash,V,1
insert,V,4
with,P,13
dup,V,1
yyp,NM,1
mem,N,1
mem,NM,2
a,PRE,3
a,N,14
a,DT,4
a,NM,6
old,NM,3
record,N,3
hbp,N,1
dn,N,1
hp,N,1
cp,N,1
unknown,N,2
unknown,NM,2
24,D,3
20,D,1
bypass,NM,1
comparison,N,1
8192,D,2
paths,NPL,2
1110,D,1
field,NM,7
field,N,8
pool,N,2
1d,NM,4
size,NM,1
size,N,14
keras,PRE,6
convolution,N,4
2d,NM,12
depthwise,NM,2
upsampling,N,2
zero,NM,1
zero,D,1
padding,N,1
embedding,N,1
dl4j,PRE,1
invalid,NM,1
input,NM,1
input,N,1
input,PRE,1
exception,N,2
regression,NM,1
adapter,N,1
cropping,N,1
separable,NM,1
yolo,N,1
stride,N,3
vol,NM,1
o,NM,3
o,N,1
merged,N,2
3,D,16
mean,N,1
buff,NM,2
buff,N,1
ptr,N,7
ptr,NM,2
ptr,D,1
arg,N,8
18,D,1
31,D,2
base,NM,2
base,N,2
level,N,2
new,NM,8
shape,N,2
26,D,1
29,D,1
float,N,2
16,D,13
to,P,75
double,N,3
indexer,N,1
r,N,4
r,PRE,3
8,D,9
32,D,3
14,D,1
insn,N,2
ds,N,1
ds,PRE,1
flags,NPL,2
flags,NM,1
t,N,6
t,NM,2
mov,N,1
set,V,13
set,N,5
immediate,NM,1
prepare,V,2
mun,NM,1
map,NM,2
map,N,3
code,N,4
code,NM,1
generate,V,2
prolog,N,1
valid,NM,2
position,N,1
position,NM,1
vertex,N,3
connected,V,1
m,PRE,22
m,N,9
perspective,NM,1
bias,NM,1
mid,N,1
23,D,1
13,D,1
11,D,1
21,D,1
33,D,2
22,D,1
c,PRE,5
c,NM,2
vector,N,5
vector,NM,1
matrix,N,2
matrix,NM,1
z,N,1
z,NM,1
mag,N,1
noise,N,1
n,N,5
n,NM,2
n,PRE,1
d,N,1
cpt,N,1
s,NM,5
s,N,2
in,N,8
in,P,31
in,NM,17
in,V,1
6,D,6
00,D,2
110,D,1
param,N,5
param,NM,2
get,V,17
u,N,2
no,DT,32
no,N,8
no,NM,1
no,VM,1
ex,N,3
ex,NM,1
src,N,3
src,NM,1
count,N,9
xe,N,1
xdf,N,1
dir,N,3
e,N,2
7,D,2
inverse,V,1
compute,N,1
for,P,43
for,N,3
for,NM,4
word,N,2
of,P,15
of,N,1
of,PRE,2
all,DT,51
1s,NPL,1
1s,D,1
murmur3,PRE,1
murmur3,N,1
128,D,1
function,N,3
function,NM,1
5,D,1
entry,N,3
entry,NM,3
part,N,5
declared,NM,1
type,N,10
type,NM,1
rtf,N,1
utf8,N,3
l1,NM,1
regularizer,N,1
l2,NM,1
norm,NM,1
norm,PRE,1
transform,V,1
transform,NM,1
transform,N,1
start,NM,2
start,N,5
f1,NM,1
score,N,1
after,P,25
q,N,3
h,N,3
h,PRE,1
name,N,15
name,NM,1
sha256,NM,1
algorithm,N,1
playing,V,1
ch,N,1
rtc,PRE,1
page,N,4
page,NM,2
target,N,2
psp,N,1
load,V,3
rom,N,1
sm83,PRE,2
tick,N,2
internal,NM,1
instruction,PRE,1
irq,NM,1
stall,N,1
inp,N,1
convert,V,5
bit,N,3
bit,NM,2
bt3zip,NM,1
match,NM,1
match,N,1
finder,N,1
matches,NPL,2
price,N,1
where,NM,3
where,VM,2
where,N,1
trace,N,1
expr,N,7
expr,NM,1
if,CJ,17
if,NM,12
if,PRE,1
true,NM,3
adler,N,1
buf,N,2
buf,NM,1
buf,PRE,1
host,N,7
host,NM,4
1515,D,1
i,N,2
i,PRE,2
group,NM,1
group,N,4
group,V,1
ctx,N,3
sbox,N,2
base32,N,1
base32,NM,1
pad,N,3
ip6,PRE,1
nxt,NM,1
nxt,P,1
be32,NM,1
ofs,N,2
l,N,1
l,PRE,4
max,NM,4
max,N,5
frag,NM,1
frag,N,1
list,NM,1
list,N,7
dot3,PRE,1
ad,PRE,1
agg,PRE,1
agg,NM,1
port,PRE,1
port,N,2
attached,NM,1
id,N,18
id,NM,1
wc,N,2
10,D,1
ovsdb,PRE,2
datum,N,3
compare,V,2
3way,VM,1
gw,N,1
exit,N,1
exit,NM,1
64,D,4
rgba4444,N,1
body,N,1
obj,N,1
y,N,3
y,D,1
dist,N,2
bpp,N,1
dx7,NM,1
device,NM,1
guid,N,1
contents,NPL,1
numeric,NM,1
4d,NM,2
4i,NM,1
caps,N,1
root,N,1
bi,N,1
node,N,6
gl,PRE,1
inv,N,1
row,N,3
row,NM,3
sort,V,3
sort,NM,1
collector,NM,2
labels,NPL,3
httperf,N,1
server,N,5
server,NM,3
http11,N,1
vid,N,1
distance,N,1
12,D,1
igraph,PRE,5
igraph,NM,1
w,VM,1
w,NM,1
heap,N,2
init,V,2
init,N,1
subisomorphisms,NPL,1
vf,N,1
inner,NM,1
odx,N,1
sum,N,2
edge,NM,2
partition,N,2
partition,NM,1
partition,V,1
edges,NPL,3
color,N,2
color,PRE,1
color,NM,1
work,N,1
work,NM,1
rmu,N,1
str,N,6
str,NM,2
int,N,1
clique,N,1
expression,N,2
fp,NM,1
fp,N,1
irand,N,1
224,D,1
error,N,6
spx,PRE,1
nt,NM,1
prod,N,1
wk,N,1
ts,N,2
s3fs,PRE,8
s3fs,NM,2
curl,N,1
headers,NPL,2
it,N,1
iam,NM,2
v2,NM,3
token,N,3
api,NM,1
api,PRE,2
update,V,4
update,N,2
update,NM,2
credential,N,1
read,V,5
read,NM,2
read,N,1
passwd,NM,1
file,N,7
file,NM,1
ten,D,1
oper,N,1
utimens,N,1
link,N,1
truncate,V,2
truncate,NM,1
fuse,NM,1
loop,N,1
destroy,V,1
usr,N,1
handler,N,1
singularity,PRE,6
s3,PRE,9
s3,NM,4
uploader,NM,4
uploader,N,1
task,NM,4
task,N,1
reconciliation,NM,1
response,NM,2
response,N,2
999,D,1
default,NM,1
default,N,2
bucket,N,4
bucket,NM,1
artifact,N,1
use,V,2
signing,N,1
configuration,N,1
content,NM,1
content,N,2
wait,V,5
links,NM,1
seconds,NPL,1
service,N,4
service,NM,4
services,NPL,2
services,NM,2
replace,V,3
es419,NM,1
language,NM,1
filter,N,8
filter,NM,1
key,NM,3
key,N,8
pattern,N,1
buckets,NPL,1
bind,V,1
module,N,1
slf4j,PRE,1
debugger,NM,1
factory,N,4
rgb,N,3
b64,NM,1
java11,PRE,2
web,NM,2
socket,N,1
socket,NM,1
xpp3,PRE,2
xml,NM,2
pull,NM,2
application,NM,1
info,N,6
info,PRE,1
info,NM,1
block,NM,2
contact,N,3
contact,NM,1
save,V,15
save,N,1
save,NM,1
as,P,38
as,NM,1
mail,V,1
mail,NM,1
forward,N,4
forward,NM,1
unblock,V,1
image,N,2
chat,NM,1
cobrowse,NM,1
rfc3526,NM,1
prime,N,1
4096,D,1
x509,PRE,1
set1,PRE,1
not,DT,2
not,VM,3
before,P,13
37,D,1
63,D,1
find,V,5
multiiter,PRE,1
do,V,3
p5,NM,1
err,NM,5
msg,N,1
value,N,7
value,NM,2
app,N,2
un7zip,V,1
props,NPL,1
sock,N,1
handle,V,2
handle,N,2
send,N,1
send,V,3
command,N,1
cmd,N,1
pointer,N,3
option,N,2
network,NM,1
pass,NM,2
pass,V,1
socks5,NM,1
proxy,N,3
string,N,12
string,NM,2
base16,NM,2
encode,V,2
decode,V,2
base64,N,2
gui,PRE,8
mouse,PRE,1
event,NM,1
event,N,2
nick,PRE,1
prefix,NM,1
description,N,2
irc,PRE,4
irc,N,1
channel,N,2
message,N,4
message,NM,1
message,V,1
split,V,1
split,N,2
005,D,1
plugin,PRE,3
plugin,NM,1
term,NM,1
term,N,2
cb,N,2
cb,NM,1
script,PRE,1
script,N,1
relay,PRE,1
auth,PRE,1
parse,V,2
pbkdf2,N,1
chars,NPL,1
st,NM,2
u32,NM,1
dof,PRE,1
reg,V,1
handoff,NM,1
dpp,N,1
iax2,PRE,1
analysis,NM,1
tree,NM,1
tree,N,3
widget,NM,1
item,N,1
ip6r0,PRE,1
slmap,N,1
subtypes,NPL,1
build,V,1
schema,N,5
schema,NM,2
2dimensional,NM,1
dataset,N,1
process,V,1
ipv6,NM,1
packet,N,1
encapsulating,NM,1
security,N,1
v6,NM,2
destination,NM,1
options,NPL,2
cs,N,2
interval,NM,1
substring,N,1
on,P,37
on,NM,1
400,D,1
functions,NPL,2
seed,N,1
murmur,NM,1
lk,N,1
index,N,17
index,V,3
index,PRE,1
vv,N,1
uint4,NM,1
length,N,2
abstract,NM,1
sv,N,4
copier,N,1
incoming,V,1
has,V,9
result,N,2
column,NM,2
column,N,1
statistics,NPL,1
conjuncts,NPL,1
cost,N,2
probe,NM,1
side,NM,1
side,N,1
scan,N,1
scan,V,2
hj,N,1
from,P,34
endpoint,N,2
endpoint,NM,1
table,NM,1
table,N,1
metadata,N,3
decompress,V,1
join,V,3
mj,NM,2
limit,V,1
limit,N,1
query,N,2
query,NM,3
write,V,4
write,NM,1
write,N,1
decimal,N,3
decimal,NM,1
9,D,1
big,NM,1
plus,P,2
38,D,2
dense,NM,2
float4,NM,1
fan,N,1
propagate,V,2
down,P,8
down,VM,2
down,NM,1
out,V,1
out,NM,28
out,N,6
out,P,4
out,VM,1
val,N,4
channels,NPL,2
spatial,NM,1
dim,N,1
by,P,9
chans,NPL,1
cudnn,PRE,1
deconvolution,NM,4
deconvolution,N,3
log,V,1
log,N,1
upgraded,V,1
net,PRE,3
backward,N,1
blob,NM,2
blob,N,1
last,DT,78
last,NM,1
top,NM,2
idx,N,5
time,N,19
per,P,10
ccv,PRE,5
sparse,NM,1
cell,N,2
alias,NM,1
off,N,2
off,NM,4
off,P,1
off,VM,1
cnnp,PRE,1
batch,PRE,2
batch,N,3
batch,NM,1
add,V,12
add,N,1
output,N,3
nnc,PRE,2
tensor,N,1
tensor,NM,1
while,NM,3
multipart,NM,1
header,NM,3
header,N,4
request,NM,3
request,N,1
execute,V,3
system,N,1
deser,N,2
status,N,3
yaml,N,1
3d,NM,3
train,V,1
initializer,N,2
every,DT,3
since,CJ,1
since,VM,1
since,P,1
ms,N,1
ms,NM,1
child,N,2
types,NM,1
types,NPL,3
offset,N,2
offset,V,2
offset,NM,1
vmax,N,1
over,P,3
bytes,NPL,6
are,V,2
unities,NPL,1
doubles,NPL,1
hardware,NM,1
watchpoint,NM,1
current,NM,1
thread,N,2
thread,NM,1
alive,NM,1
program,N,1
copy,N,1
copy,V,5
post,N,1
redirected,V,1
cout,N,1
cout,NM,1
what,DT,5
used,V,3
used,NM,1
up,VM,1
up,P,4
up,NM,1
warmup,NM,1
iterations,NPL,1
sample,N,2
nanoseconds,NPL,1
stream,N,3
stream,V,2
stream,NM,1
rel,NM,2
cam,N,1
faces,NPL,1
draw,V,1
day,N,1
smooth,NM,1
punch,N,2
fog,N,1
outside,P,1
step,N,1
dirt,N,1
grass,N,1
through,P,1
activate,V,1
perlin,NM,1
f,N,1
place,V,2
schematic,N,1
vmanip,N,1
commit,V,1
commit,N,1
success,N,2
subexp,N,1
lines,NPL,3
hunk,N,1
shift,V,1
ancestor,NM,1
conditional,NM,1
branch,N,2
git,PRE,6
delta,PRE,1
flag,N,2
within,P,3
disk,N,1
end,N,1
end,V,1
repo,N,1
stash,PRE,1
diff,N,2
diff,PRE,1
check,V,5
against,P,1
known,NM,1
hosts,NPL,3
fs,NM,1
path,N,7
path,NM,1
local,NM,3
local,N,2
buffer,NM,2
buffer,PRE,3
buffer,N,3
element,N,2
iterator,N,1
charset,N,1
inclusive,N,1
at,P,8
at,VM,1
most,DT,1
visit,V,1
fn,N,2
inlinables,NPL,1
eclipse,NM,1
compiler,N,1
filename,N,1
gson,NM,1
builder,N,3
proto,NM,1
classes,NPL,1
unary,NM,1
operator,N,1
implementation,N,1
features,NPL,1
features,V,1
class,N,5
merge,V,4
chunks,NPL,1
select,V,1
titles,NM,1
state,N,2
upper,NM,1
metric,N,1
removed,V,1
var,N,3
pixels,NPL,2
unit,N,2
when,CJ,2
when,VM,4
each,DT,8
notify,V,1
notify,PRE,1
parent,N,2
notified,V,1
obsess,V,1
custom,NM,1
variable,N,1
icon,N,3
equals,N,2
bare,NM,1
jid,N,2
messages,NPL,1
close,V,2
close,N,1
posn,N,1
email,N,2
literal,N,2
addr,N,2
transaction,N,1
tx1523,N,1
packets,NPL,3
rx128,N,1
255,D,1
rx1024,N,1
1522,D,1
conn,NM,1
ipv4,N,1
odp,PRE,1
nsh,PRE,1
attr,N,1
version,NM,1
version,N,1
bitmap,N,1
ofp,PRE,1
clone,N,1
headroom,N,1
ovs,PRE,1
db,PRE,1
transient,NM,1
json,N,1
vlan,N,1
bundle,N,1
dev,N,1
band,N,1
wrapped,V,1
around,P,1
convertible,NM,1
bits,NPL,3
pixel,N,1
look,V,1
look,NM,3
normalize,V,1
rebuilding,V,1
primitives,NPL,1
vertices,NPL,1
primitive,N,1
extend,V,1
hexahedron,N,1
dampen,V,1
bodies,NPL,1
adjust,V,2
camera,N,1
context,N,1
near,P,1
minor,N,2
remove,V,2
menu,NM,1
bar,N,2
height,N,1
reason,N,1
egress,N,3
paused,V,1
ack,N,1
ack,NM,1
above,P,1
push,NM,1
push,V,5
left,V,1
left,NM,2
left,DT,1
opaque,NM,1
attributes,NPL,2
ingress,NM,1
buffered,V,1
transport,NM,1
ready,NM,1
common,N,1
consume,V,1
ping,NM,1
reply,NM,1
reply,N,1
latency,N,1
generated,V,2
nodes,NPL,3
flow,NM,1
among,P,1
seq,N,2
best,NM,1
refine,V,1
equal,N,1
first,DT,2
first,NM,1
neighbour,NM,1
contour,N,2
right,NM,2
sexp,N,2
myid,N,1
env,N,1
solve,V,1
via,P,1
gs,N,1
number,N,4
order,V,1
domain,N,1
behind,P,3
rem,NM,1
md5,NM,1
len,N,3
len,NM,2
under,P,1
provisioned,V,1
requests,NPL,1
docker,NM,1
config,N,3
expiring,NM,1
object,N,3
object,NM,1
history,NM,1
history,N,1
launch,V,1
past,P,1
threshold,N,1
socks4,NM,2
room,NM,2
action,NM,2
password,N,2
be,V,1
validated,V,1
show,V,1
show,NM,1
btn,NM,2
hand,N,1
inkey,NM,1
bio,N,1
expand,V,2
instr,NM,1
pipe,N,1
audio,NM,1
samples,NPL,2
friend,N,1
args,NPL,1
line,N,3
line,PRE,2
words,NPL,1
weechat,PRE,2
guile,PRE,1
lib,NM,1
spell,PRE,1
speller,PRE,1
dicts,NPL,1
pfcp,PRE,1
o9,NM,1
gops,NPL,1
enable,V,1
like,NM,2
expected,NM,1
rpc,NM,1
escape,NM,1
clause,N,2
supported,V,1
prop,NM,1
included,V,1
this,DT,22
trait,N,1
least,DT,2
least,VM,1
one,D,1
supports,V,3
fields,NPL,2
shutdown,NM,1
entries,NPL,1
opposite,NM,1
major,NM,1
major,N,1
fragment,NM,1
ids,NPL,1
exp,N,1
minus,P,1
implicit,NM,1
columns,NPL,2
alloc,V,1
gby,N,1
eq,N,1
more,DT,6
than,CJ,1
once,VM,4
collation,N,1
except,P,1
register,V,2
prel,N,1
hocon,NM,1
mapper,N,1
outer,NM,1
remaining,NM,1
conf,N,2
memory,N,3
aggregate,V,1
and,CJ,17
and,NM,2
until,P,1
conditions,NPL,1
delete,V,2
caffe,PRE,1
next,DT,67
lock,NM,1
lock,N,1
store,V,1
store,N,1
change,N,1
change,NM,1
an,NM,1
follow,V,1
atan,N,1
prior,NM,1
any,DT,3
instance,N,2
names,NPL,3
methods,NPL,1
logo,N,1
runtime,N,1
ty,N,1
loc,N,1
projects,NPL,1
interfaces,NPL,1
open,NM,1
open,V,2
workspaces,NPL,1
pc,N,1
users,NPL,1
mode,N,1
assertion,NM,1
assertion,N,1
passed,V,1
both,DT,3
or,CJ,12
or,NM,3
generators,NPL,1
real,NM,1
face,N,1
percent,N,1
dig,NM,1
dig,N,1
delay,NM,1
delay,V,1
timer,N,1
random,N,1
letter,N,1
cache,N,4
cache,V,1
some,DT,4
air,N,1
light,N,1
run,V,3
mod,N,3
emerge,V,1
arrival,N,1
checkout,PRE,1
checkout,V,1
create,V,3
the,DT,6
oid,NM,1
include,V,1
fetch,NM,1
heads,NPL,1
revwalk,PRE,1
toposort,N,1
submodule,PRE,1
label,N,3
getter,N,1
futures,NPL,1
intra,NM,1
argument,N,1
mirrors,NPL,1
void,N,1
annotated,NM,1
elements,NPL,1
dot,N,1
final,N,1
seen,NM,1
none,DT,1
lbl,N,1
point,N,1
comment,NM,1
member,N,2
escalation,N,3
critical,NM,1
qh,N,1
g,PRE,2
date,NM,2
date,N,1
range,N,2
range,NM,1
he,N,1
se,N,1
ext,NM,1
active,N,1
another,DT,1
answered,NM,1
activity,N,1
activity,NM,1
dps,N,1
netdev,PRE,1
dummy,PRE,1
queue,N,2
dump,V,1
atom,PRE,1
monitor,V,1
everything,DT,2
synced,V,1
wakeup,V,1
core,NM,1
