WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
action,NM,V,N,0,4,0,2,N
To,NM,P,P,1,4,1,2,P
Index,NM,N,N,2,4,1,2,NM
Map,N,N,N,3,4,2,2,N
action,NM,N,N,0,5,0,2,NM
View,NM,N,N,1,5,1,2,N
Show,NM,N,N,2,5,1,2,V
Master,NM,NM,N,3,5,1,2,NM
Pages,N,N,N,4,5,2,2,NPL
active,NM,NM,NM,0,2,0,2,NM
Copies,N,N,NPL,1,2,2,2,NPL
actual,NM,NM,NM,0,2,0,2,NM
Count,N,N,N,1,2,2,2,N
add,NM,V,V,0,4,0,2,V
Bias,NM,N,N,1,4,1,2,N
To,NM,P,P,2,4,1,2,P
Embedding,N,N,N,3,4,2,2,N
Added,NM,N,N,0,3,0,2,NM
Unicode,NM,N,N,1,3,1,2,NM
Smp,N,N,N,2,3,2,2,N
ADDRESS,NM,N,N,0,3,0,2,NM
TYPE,NM,N,N,1,3,1,2,NM
IPV4,NM,N,N,2,3,2,2,N
all,DT,DT,DT,0,2,0,2,DT
Stubbings,N,N,N,1,2,2,2,NPL
alt,NM,N,NM,0,3,0,2,NM
Label,NM,N,N,1,3,1,2,NM
Ctxs,N,N,NPL,2,3,2,2,NPL
ambient,N,NM,NM,0,1,0,2,N
ATOM,N,N,N,0,1,0,2,N
attribute,NM,N,V,0,2,0,2,NM
Decls,N,N,N,1,2,2,2,NPL
average,NM,V,N,0,6,0,2,N
In,NM,P,P,1,6,1,2,P
Bucket,NM,N,N,2,6,1,2,NM
Used,NM,NM,NM,3,6,1,2,NM
Slot,NM,N,N,4,6,1,2,NM
Count,N,N,N,5,6,2,2,N
b,NM,V,N,0,3,0,2,PRE
Is,NM,N,V,1,3,1,2,V
Playing,N,FAILURE,NM,2,3,2,2,V
b,NM,N,N,0,2,0,2,PRE
Loop,N,N,N,1,2,2,2,N
bean,NM,N,N,0,2,0,2,NM
Configs,N,N,NPL,1,2,2,2,NPL
befores,N,N,NPL,0,1,0,2,NPL
Bitmap,NM,N,N,0,3,0,2,NM
Data,NM,N,N,1,3,1,2,NM
Size,N,N,N,2,3,2,2,N
bm,NM,N,N,0,2,0,2,NM
log,N,N,N,1,2,2,2,N
Bounding,NM,N,NM,0,2,0,2,NM
Radius,N,N,N,1,2,2,2,N
breakpoint,N,N,N,0,1,0,2,N
BUCKETS,NM,N,N,0,3,0,2,NM
PATH,NM,N,N,1,3,1,2,NM
FIELD,N,N,N,2,3,2,2,N
buffers,N,N,NPL,0,1,0,2,NPL
LOGGER,N,N,V,0,1,0,2,N
build,NM,N,V,0,2,0,2,NM
Timestamp,N,N,N,1,2,2,2,N
bytes,NM,N,V,0,2,0,2,NPL
Received,N,NM,N,1,2,2,2,NM
caching,NM,N,NM,0,4,0,2,NM
Mock,NM,NM,N,1,4,1,2,NM
Bytecode,NM,N,N,2,4,1,2,NM
Generator,N,N,N,3,4,2,2,N
calibration,NM,N,N,0,2,0,2,NM
Phase,N,V,N,1,2,2,2,N
canvas,NM,N,N,0,2,0,2,NM
item,N,N,N,1,2,2,2,N
cat,NM,N,N,0,2,0,2,NM
Risk,N,N,N,1,2,2,2,N
certificate,NM,N,N,0,3,0,2,NM
Chain,NM,N,N,1,3,1,2,NM
Cleaner,N,N,N,2,3,2,2,N
char,NM,N,N,0,2,0,2,NM
strings,N,N,NPL,1,2,2,2,NPL
chosen,NM,N,NM,0,2,0,2,NM
Overrides,N,N,NPL,1,2,2,2,NPL
client,N,N,N,0,1,0,2,N
client,NM,N,N,0,2,0,2,NM
Number,N,N,N,1,2,2,2,N
CODES,N,N,NPL,0,1,0,2,NPL
color,NM,NM,N,0,3,0,2,NM
Conversion,NM,N,N,1,3,1,2,NM
System,N,N,N,2,3,2,2,N
colored,NM,NM,NM,0,2,0,2,NM
Count,N,N,N,1,2,2,2,N
Completion,NM,N,N,0,7,0,2,NM
Handler,NM,N,N,1,7,1,2,N
I,NM,NM,N,2,7,1,2,NM
Unary,NM,NM,N,3,7,1,2,NM
Response,NM,N,N,4,7,1,2,NM
Client,NM,N,N,5,7,1,2,NM
Callback,N,N,N,6,7,2,2,N
component,NM,N,N,0,2,0,2,NM
Type,N,N,N,1,2,2,2,N
context,NM,N,N,0,2,0,2,NM
Length,N,N,N,1,2,2,2,N
cookie,NM,N,N,0,2,0,2,NM
Jar,N,N,N,1,2,2,2,N
core,N,N,N,0,1,0,2,N
creds,N,N,NPL,0,1,0,2,NPL
crop,NM,N,N,0,2,0,2,NM
node,N,N,N,1,2,2,2,N
current,NM,NM,NM,0,2,0,2,NM
Filename,N,N,N,1,2,2,2,N
Current,NM,NM,N,0,3,0,2,NM
Scene,NM,N,N,1,3,1,2,NM
Node,N,N,N,2,3,2,2,N
debug,NM,N,V,0,2,0,2,NM
policy,N,N,N,1,2,2,2,N
default,NM,N,V,0,2,0,2,NM
Answer,N,N,N,1,2,2,2,N
DEFAULT,NM,N,N,0,2,0,2,NM
FACTORY,N,N,N,1,2,2,2,N
DEFAULT,NM,N,N,0,2,0,2,NM
FLAGS,N,N,NPL,1,2,2,2,NPL
default,NM,N,N,0,3,0,2,NM
instance,NM,N,N,1,3,1,2,NM
void,N,N,N,2,3,2,2,N
delay,NM,N,N,0,3,0,2,NM
agnostic,NM,N,NM,1,3,1,2,N
enabled,N,V,NM,2,3,2,2,V
depth,NM,N,N,0,2,0,2,NM
cb,N,N,N,1,2,2,2,N
depth,NM,FAILURE,N,0,4,0,2,NM
Stencil,NM,FAILURE,N,1,4,1,2,N
As,NM,FAILURE,P,2,4,1,2,P
Texture,N,FAILURE,N,3,4,2,2,N
Detect,NM,V,V,0,2,0,2,V
Leaks,N,N,NPL,1,2,2,2,NPL
DEVELOPMENT,N,N,N,0,1,0,2,N
dynamic,NM,NM,NM,0,4,0,2,NM
Table,NM,N,N,1,4,1,2,NM
Byte,NM,N,N,2,4,1,2,NM
Count,N,N,N,3,4,2,2,N
edit,NM,N,V,0,2,0,2,NM
count,N,N,N,1,2,2,2,N
EGLEW,NM,N,NM,0,5,0,2,PRE
ANDROID,NM,N,N,1,5,1,2,PRE
frame,NM,N,N,2,5,1,2,NM
buffer,NM,N,N,3,5,1,2,NM
target,N,N,N,4,5,2,2,N
eglew,NM,N,NPL,0,5,0,2,PRE
Create,NM,N,V,1,5,1,2,V
Platform,NM,N,N,2,5,1,2,NM
Window,NM,N,N,3,5,1,2,NM
Surface,N,N,N,4,5,2,2,N
EGLEW,NM,N,N,0,4,0,2,PRE
KHR,NM,N,N,1,4,1,2,PRE
stream,NM,N,N,2,4,1,2,NM
fifo,N,N,N,3,4,2,2,N
EMBEDDED,NM,NM,N,0,2,0,2,NM
VERSION,N,N,N,1,2,2,2,N
EMPTY,NM,NM,NM,0,2,0,2,NM
DIRECTORY,N,N,N,1,2,2,2,N
enabled,NM,N,NM,0,2,0,2,NM
subdevices,N,N,NPL,1,2,2,2,NPL
encoded,NM,N,NM,0,3,0,2,NM
Path,NM,N,N,1,3,1,2,NM
Segments,N,N,NPL,2,3,2,2,NPL
exception,NM,N,N,0,2,0,2,NM
Channels,N,N,NPL,1,2,2,2,NPL
extract,NM,V,N,0,2,0,2,V
Events,N,N,NPL,1,2,2,2,NPL
f,NM,N,N,0,3,0,2,PRE
Context,NM,N,N,1,3,1,2,NM
Length,N,N,N,2,3,2,2,N
f,NM,N,N,0,2,0,2,PRE
Matcher,N,N,N,1,2,2,2,N
FEED,NM,N,N,0,2,0,2,NM
ADAPTER,N,N,N,1,2,2,2,N
File,N,N,V,0,1,0,2,N
file,NM,N,V,0,3,0,2,NM
Descriptor,NM,N,N,1,3,1,2,NM
Proto,N,NM,N,2,3,2,2,N
filtered,NM,N,NM,0,2,0,2,NM
Children,N,N,N,1,2,2,2,NPL
fingerprint,NM,N,N,0,2,0,2,NM
Dialog,N,N,N,1,2,2,2,N
flag,N,N,N,0,1,0,2,N
float,NM,N,V,0,3,0,2,NM
Day,NM,N,N,1,3,1,2,NM
Counter,N,N,N,2,3,2,2,N
footnotes,NM,N,NPL,0,2,0,2,NM
Position,N,N,N,1,2,2,2,N
free,NM,NM,NM,0,2,0,2,NM
cell,N,N,N,1,2,2,2,N
GEN,NM,N,N,0,2,0,2,NM
SUBJ,N,N,N,1,2,2,2,N
GET,NM,N,V,0,3,0,2,NM
SOURCE,NM,N,N,1,3,1,2,NM
NAME,N,N,N,2,3,2,2,N
glew,NM,N,V,0,3,0,2,PRE
Index,NM,N,N,1,3,1,2,NM
Mask,N,N,N,2,3,2,2,N
glew,NM,N,V,0,3,0,2,PRE
Render,NM,N,N,1,3,1,2,NM
Mode,N,N,N,2,3,2,2,N
glew,NM,N,V,0,4,0,2,PRE
Validate,NM,N,N,1,4,1,2,V
Program,NM,N,N,2,4,1,2,NM
Pipeline,N,N,N,3,4,2,2,N
group,NM,N,N,0,2,0,2,NM
Boxes,N,N,NPL,1,2,2,2,NPL
H,NM,N,N,0,2,0,2,N
Wnd,N,N,N,1,2,2,2,NM
handled,NM,NM,NM,0,2,0,2,NM
Boxes,N,N,NPL,1,2,2,2,NPL
height,NM,N,N,0,2,0,2,NM
int,N,N,N,1,2,2,2,N
history,NM,N,N,0,2,0,2,NM
