WORD,SWUM_TAG,POSSE_TAG,STANFORD_TAG,POSITION,MAXPOSITION,NORMALIZED_POSITION,CONTEXT,CORRECT_TAG
a,NM,FAILURE,DT,0,2,0,4,PRE
pos,N,FAILURE,N,1,2,2,4,N
abs,NM,N,NM,0,5,0,4,NM
deadline,NM,N,N,1,5,1,4,NM
n,NM,N,N,2,5,1,4,NM
sec,NM,NM,N,3,5,1,4,NM
value,N,N,N,4,5,2,4,N
accelerometer,NM,N,N,0,2,0,4,NM
Data,N,N,N,1,2,2,4,N
accepting,NM,NM,NM,0,2,0,4,NM
Tasks,N,N,NPL,1,2,2,4,NPL
addr,N,N,N,0,1,0,4,N
all,DT,DT,DT,0,2,0,4,DT
Factors,N,N,NPL,1,2,2,4,NPL
alt,NM,N,N,0,2,0,4,NM
Name,N,N,N,1,2,2,4,N
alternative,NM,NM,NM,0,3,0,4,NM
Cache,NM,N,N,1,3,1,4,NM
Name,N,N,N,2,3,2,4,N
ambient,NM,NM,NM,0,2,0,4,NM
coefficient,N,N,N,1,2,2,4,N
animations,NM,N,NPL,0,2,0,4,NM
Data,N,N,N,1,2,2,4,NPL
App,NM,NM,N,0,2,0,4,NM
ID,N,N,N,1,2,2,4,N
arg,NM,N,N,0,3,0,4,NM
Mismatch,NM,N,N,1,3,1,4,NM
Stubbings,N,N,NPL,2,3,2,4,NPL
array,NM,N,N,0,2,0,4,NM
Class,N,N,N,1,2,2,4,N
Array,NM,N,N,0,3,0,4,NM
Struct,NM,N,N,1,3,1,4,NM
Value,N,N,N,2,3,2,4,N
assigns,N,V,V,0,1,0,4,NPL
auth,NM,N,NM,0,2,0,4,NM
Result,N,N,N,1,2,2,4,N
b,NM,N,N,0,3,0,4,NM
d,NM,NM,N,1,3,1,4,NM
c,N,N,N,2,3,2,4,N
b,NM,FAILURE,N,0,3,0,4,PRE
Flip,NM,FAILURE,N,1,3,1,4,V
Horizontally,N,FAILURE,N,2,3,2,4,VM
b,NM,N,N,0,3,0,4,PRE
Multi,NM,N,N,1,3,1,4,NM
Fullscreen,N,N,N,2,3,2,4,N
backprop,NM,N,NM,0,2,0,4,NM
Training,N,N,N,1,2,2,4,N
bibliography,NM,N,N,0,2,0,4,NM
Type,N,N,N,1,2,2,4,N
block,NM,N,V,0,2,0,4,NM
Nr,N,N,N,1,2,2,4,N
bone,NM,NM,N,0,2,0,4,NM
Positions,N,N,NPL,1,2,2,4,NPL
bound,NM,NM,NM,0,2,0,4,NM
Port,N,N,N,1,2,2,4,N
breaker,NM,N,N,0,2,0,4,NM
Consumer,N,N,N,1,2,2,4,N
Bridged,NM,N,N,0,4,0,4,NM
Value,NM,N,N,1,4,1,4,NM
Fun,NM,N,N,2,4,1,4,NM
Arg,N,N,N,3,4,2,4,N
brush,NM,N,V,0,2,0,4,NM
Hatch,N,N,N,1,2,2,4,N
buf,NM,N,N,0,2,0,4,NM
Num,N,N,N,1,2,2,4,N
build,NM,N,V,0,2,0,4,NM
Context,N,N,N,1,2,2,4,N
build,NM,N,V,0,3,0,4,NM
time,NM,N,N,1,3,1,4,NM
minor,N,N,NM,2,3,2,4,N
built,NM,NM,NM,0,2,0,4,NM
Url,N,N,N,1,2,2,4,N
byte,NM,N,V,0,3,0,4,NM
Array,NM,N,N,1,3,1,4,NM
View,N,N,N,2,3,2,4,N
c,NM,NM,N,0,2,0,4,NM
problem,N,N,N,1,2,2,4,N
cache,NM,N,N,0,2,0,4,NM
file,N,N,N,1,2,2,4,N
call,NM,N,V,0,2,0,4,NM
Id,N,N,N,1,2,2,4,N
cause,NM,N,V,0,2,0,4,NM
Matcher,N,N,N,1,2,2,4,N
child,NM,N,N,0,2,0,4,NM
Statement,N,N,N,1,2,2,4,N
classfile,NM,N,V,0,2,0,4,NM
Buffer,N,N,N,1,2,2,4,N
cmd,NM,N,N,0,2,0,4,NM
Str,N,N,N,1,2,2,4,N
code,NM,V,V,0,3,0,4,NM
Point,NM,N,N,1,3,1,4,N
To,N,P,P,2,3,2,4,P
color,NM,NM,N,0,2,0,4,NM
Map,N,N,N,1,2,2,4,N
comparison,NM,N,N,0,2,0,4,NM
Value,N,N,N,1,2,2,4,N
concrete,NM,NM,NM,0,3,0,4,NM
Follower,NM,N,N,1,3,1,4,NM
Indices,N,N,NPL,2,3,2,4,NPL
connection,NM,N,N,0,2,0,4,NM
state,N,N,N,1,2,2,4,N
content,NM,NM,N,0,3,0,4,NM
Type,NM,N,N,1,3,1,4,NM
String,N,N,N,2,3,2,4,N
convex,NM,NM,N,0,2,0,4,NM
Shapes,N,N,N,1,2,2,4,NPL
current,NM,NM,NM,0,2,0,4,NM
Invocation,N,N,N,1,2,2,4,N
current,NM,NM,NM,0,2,0,4,NM
median,N,N,N,1,2,2,4,N
current,NM,NM,NM,0,2,0,4,NM
Prefix,N,N,N,1,2,2,4,N
current,NM,NM,NM,0,2,0,4,NM
Root,N,N,N,1,2,2,4,N
curvatures,NM,N,NPL,0,2,0,4,NM
height,N,N,N,1,2,2,4,N
D,NM,NM,N,0,2,0,4,NM
mat,N,N,N,1,2,2,4,N
data,NM,N,NPL,0,3,0,4,NM
Point,NM,N,N,1,3,1,4,NM
Method,N,N,N,2,3,2,4,N
default,N,N,N,0,1,0,4,N
default,NM,N,N,0,3,0,4,NM
